"GEO_ID","id"
"S2702_C01_026E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S2702_C01_026M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S2702_C01_027E","Estimate!!Total!!Total civilian noninstitutionalized population!!NATIVITY AND U.S. CITIZENSHIP STATUS!!Native born"
"S2702_C01_027M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!NATIVITY AND U.S. CITIZENSHIP STATUS!!Native born"
"S2702_C01_028E","Estimate!!Total!!Total civilian noninstitutionalized population!!NATIVITY AND U.S. CITIZENSHIP STATUS!!Foreign born"
"S2702_C01_028M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!NATIVITY AND U.S. CITIZENSHIP STATUS!!Foreign born"
"S2702_C01_029E","Estimate!!Total!!Total civilian noninstitutionalized population!!NATIVITY AND U.S. CITIZENSHIP STATUS!!Foreign born!!Naturalized"
"S2702_C01_029M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!NATIVITY AND U.S. CITIZENSHIP STATUS!!Foreign born!!Naturalized"
"S2702_C01_030E","Estimate!!Total!!Total civilian noninstitutionalized population!!NATIVITY AND U.S. CITIZENSHIP STATUS!!Foreign born!!Not a citizen"
"S2702_C01_030M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!NATIVITY AND U.S. CITIZENSHIP STATUS!!Foreign born!!Not a citizen"
"S2702_C01_031E","Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY STATUS!!With a disability"
"S2702_C01_031M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!DISABILITY STATUS!!With a disability"
"S2702_C01_032E","Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY STATUS!!No disability"
"S2702_C01_032M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!DISABILITY STATUS!!No disability"
"S2702_C01_033E","Estimate!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over"
"S2702_C01_033M","Margin of Error!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over"
"S2702_C01_034E","Estimate!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Same house"
"S2702_C01_034M","Margin of Error!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Same house"
"S2702_C01_035E","Estimate!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S."
"S2702_C01_035M","Margin of Error!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S."
"S2702_C01_036E","Estimate!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S.!!Same county"
"S2702_C01_036M","Margin of Error!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S.!!Same county"
"S2702_C01_037E","Estimate!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S.!!Different county"
"S2702_C01_037M","Margin of Error!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S.!!Different county"
"S2702_C01_038E","Estimate!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S.!!Different county!!Same state"
"S2702_C01_038M","Margin of Error!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S.!!Different county!!Same state"
"S2702_C01_039E","Estimate!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S.!!Different county!!Different state"
"S2702_C01_039M","Margin of Error!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Different House in the U.S.!!Different county!!Different state"
"S2702_C01_040E","Estimate!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Abroad"
"S2702_C01_040M","Margin of Error!!Total!!RESIDENCE 1 YEAR AGO!!Civilian noninstitutionalized population 1 year and over!!Abroad"
"S2702_C01_041E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over"
"S2702_C01_041M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over"
"S2702_C01_042E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over!!Less than high school graduate"
"S2702_C01_042M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over!!Less than high school graduate"
"S2702_C01_043E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over!!High school graduate (includes equivalency)"
"S2702_C01_043M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over!!High school graduate (includes equivalency)"
"S2702_C01_044E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over!!Some college or associate's degree"
"S2702_C01_044M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over!!Some college or associate's degree"
"S2702_C01_045E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over!!Bachelor's degree or higher"
"S2702_C01_045M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and over!!Bachelor's degree or higher"
"S2702_C01_046E","Estimate!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over"
"S2702_C01_046M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over"
"S2702_C01_047E","Estimate!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over!!In labor force"
"S2702_C01_047M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over!!In labor force"
"S2702_C01_048E","Estimate!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over!!In labor force!!Employed"
"S2702_C01_048M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over!!In labor force!!Employed"
"S2702_C01_049E","Estimate!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over!!In labor force!!Unemployed"
"S2702_C01_049M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over!!In labor force!!Unemployed"
"S2702_C01_050E","Estimate!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over!!Not in labor force"
"S2702_C01_050M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 16 years and over!!Not in labor force"
"S2702_C01_051E","Estimate!!Total!!WORK EXPERIENCE!!Civilian noninstitutionalized population 16 to 64 years"
"S2702_C01_051M","Margin of Error!!Total!!WORK EXPERIENCE!!Civilian noninstitutionalized population 16 to 64 years"
"S2702_C01_052E","Estimate!!Total!!WORK EXPERIENCE!!Civilian noninstitutionalized population 16 to 64 years!!Worked full-time, year round in the past 12 months"
"S2702_C01_052M","Margin of Error!!Total!!WORK EXPERIENCE!!Civilian noninstitutionalized population 16 to 64 years!!Worked full-time, year round in the past 12 months"
"S2702_C01_053E","Estimate!!Total!!WORK EXPERIENCE!!Civilian noninstitutionalized population 16 to 64 years!!Worked less than full-time, year round in the past 12 months"
"S2702_C01_053M","Margin of Error!!Total!!WORK EXPERIENCE!!Civilian noninstitutionalized population 16 to 64 years!!Worked less than full-time, year round in the past 12 months"
"S2702_C01_054E","Estimate!!Total!!WORK EXPERIENCE!!Civilian noninstitutionalized population 16 to 64 years!!Did not work"
"S2702_C01_054M","Margin of Error!!Total!!WORK EXPERIENCE!!Civilian noninstitutionalized population 16 to 64 years!!Did not work"
"S2702_C01_055E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over"
"S2702_C01_055M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over"
"S2702_C01_056E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Private for-profit wage and salary workers"
"S2702_C01_056M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Private for-profit wage and salary workers"
"S2702_C01_057E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Private for-profit wage and salary workers!!Employee of private company workers"
"S2702_C01_057M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Private for-profit wage and salary workers!!Employee of private company workers"
"S2702_C01_058E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers"
"S2702_C01_058M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers"
"S2702_C01_059E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Private not-for-profit wage and salary workers"
"S2702_C01_059M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Private not-for-profit wage and salary workers"
"S2702_C01_060E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Local government workers"
"S2702_C01_060M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Local government workers"
"S2702_C01_061E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!State government workers"
"S2702_C01_061M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!State government workers"
"S2702_C01_062E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Federal government workers"
"S2702_C01_062M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Federal government workers"
"S2702_C01_063E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business workers"
"S2702_C01_063M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business workers"
"S2702_C01_064E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Unpaid family workers"
"S2702_C01_064M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!CLASS OF WORKER!!Unpaid family workers"
"S2702_C01_065E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"S2702_C01_065M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"S2702_C01_066E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Construction"
"S2702_C01_066M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Construction"
"S2702_C01_067E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Manufacturing"
"S2702_C01_067M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Manufacturing"
"S2702_C01_068E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Wholesale trade"
"S2702_C01_068M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Wholesale trade"
"S2702_C01_069E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Retail trade"
"S2702_C01_069M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Retail trade"
"S2702_C01_070E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities"
"S2702_C01_070M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities"
"S2702_C01_071E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Information"
"S2702_C01_071M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Information"
"S2702_C01_072E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing"
"S2702_C01_072M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing"
"S2702_C01_073E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services"
"S2702_C01_073M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services"
"S2702_C01_074E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance"
"S2702_C01_074M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance"
"S2702_C01_075E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"S2702_C01_075M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"S2702_C01_076E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Other services (except public administration)"
"S2702_C01_076M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Other services (except public administration)"
"S2702_C01_077E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Public administration"
"S2702_C01_077M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!INDUSTRY!!Public administration"
"S2702_C01_078E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
"S2702_C01_078M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
"S2702_C01_079E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Service occupations"
"S2702_C01_079M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Service occupations"
"S2702_C01_080E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Sales and office occupations"
"S2702_C01_080M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Sales and office occupations"
"S2702_C01_081E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"S2702_C01_081M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"S2702_C01_082E","Estimate!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
"S2702_C01_082M","Margin of Error!!Total!!Civilian noninstitutionalized workers 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
"S2702_C01_083E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings"
"S2702_C01_083M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings"
"S2702_C01_084E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$1 to $4,999 or loss"
"S2702_C01_084M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$1 to $4,999 or loss"
"S2702_C01_085E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$5,000 to $14,999"
"S2702_C01_085M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$5,000 to $14,999"
"S2702_C01_086E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$15,000 to $24,999"
"S2702_C01_086M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$15,000 to $24,999"
"S2702_C01_087E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$25,000 to $34,999"
"S2702_C01_087M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$25,000 to $34,999"
"S2702_C01_088E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$35,000 to $49,999"
"S2702_C01_088M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$35,000 to $49,999"
"S2702_C01_089E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$50,000 to $74,999"
"S2702_C01_089M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$50,000 to $74,999"
"S2702_C01_090E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$75,000 or more"
"S2702_C01_090M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!$75,000 or more"
"S2702_C01_091E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!Median earnings (dollars)"
"S2702_C01_091M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS)!!Civilian noninstitutionalized population 16 years and over with earnings!!Median earnings (dollars)"
"S2702_C01_092E","Estimate!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population"
"S2702_C01_092M","Margin of Error!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population"
"S2702_C01_093E","Estimate!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!Under $25,000"
"S2702_C01_093M","Margin of Error!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!Under $25,000"
"S2702_C01_094E","Estimate!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!$25,000 to $49,999"
"S2702_C01_094M","Margin of Error!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!$25,000 to $49,999"
"S2702_C01_095E","Estimate!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!$50,000 to $74,999"
"S2702_C01_095M","Margin of Error!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!$50,000 to $74,999"
"S2702_C01_096E","Estimate!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!$75,000 to $99,999"
"S2702_C01_096M","Margin of Error!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!$75,000 to $99,999"
"S2702_C01_097E","Estimate!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!$100,000 and over"
"S2702_C01_097M","Margin of Error!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!$100,000 and over"
"S2702_C01_098E","Estimate!!Total!!HOUSEHOLD INCOME (IN 2019 INFLATION ADJUSTED DOLLARS)!!Total household population!!Median household income of householders"
