Occupation,Congress,Year,Representatives
Agriculture,89,1965,18
Business or banking,89,1965,58
Clergy,89,1965,1
Congressional aide,89,1965,9
Education,89,1965,14
Engineering,89,1965,2
Journalism,89,1965,16
Labor leader,89,1965,0
Law,89,1965,76
Law enforcement,89,1965,.
Medicine,89,1965,2
Military,89,1965,.
Professional sports,89,1965,.
Public service/politics,89,1965,120
Real estate,89,1965,.
Veteran,89,1965,101
New Occupations,89,1965,.
Artistic/Creative,89,1965,.
Healthcare,89,1965,.
Homemaker/Domestic,89,1965,.
Science,89,1965,.
Secreterial/clerical,89,1965,.
Technical/Trade,89,1965,.
Miscellaneous,89,1965,.
Acting/entertainer,90,1967,.
Aeronautics,90,1967,.
Agriculture,90,1967,22
Business or banking,90,1967,79
Clergy,90,1967,2
Congressional aide,90,1967,11
Education,90,1967,14
Engineering,90,1967,2
Journalism,90,1967,17
Labor leader,90,1967,0
Law,90,1967,96
Law enforcement,90,1967,.
Medicine,90,1967,2
Military,90,1967,.
Professional sports,90,1967,.
Public service/politics,90,1967,154
Real estate,90,1967,.
Veteran,90,1967,137
New Occupations,90,1967,.
Artistic/Creative,90,1967,.
Healthcare,90,1967,.
Homemaker/Domestic,90,1967,.
Science,90,1967,.
Secreterial/clerical,90,1967,.
Technical/Trade,90,1967,.
Miscellaneous,90,1967,.
Acting/entertainer,91,1969,.
Aeronautics,91,1969,.
Agriculture,91,1969,20
Business or banking,91,1969,81
Clergy,91,1969,1
Congressional aide,91,1969,10
Education,91,1969,20
Engineering,91,1969,2
Journalism,91,1969,17
Labor leader,91,1969,0
Law,91,1969,90
Law enforcement,91,1969,1
Medicine,91,1969,3
Military,91,1969,.
Professional sports,91,1969,.
Public service/politics,91,1969,144
Real estate,91,1969,.
Veteran,91,1969,142
New Occupations,91,1969,.
Artistic/Creative,91,1969,.
Healthcare,91,1969,.
Homemaker/Domestic,91,1969,.
Science,91,1969,1
Secreterial/clerical,91,1969,.
Technical/Trade,91,1969,.
Miscellaneous,91,1969,.
Acting/entertainer,92,1971,.
Aeronautics,92,1971,.
Agriculture,92,1971,20
Business or banking,92,1971,78
Clergy,92,1971,1
Congressional aide,92,1971,9
Education,92,1971,23
Engineering,92,1971,1
Journalism,92,1971,12
Labor leader,92,1971,0
Law,92,1971,89
Law enforcement,92,1971,.
Medicine,92,1971,2
Military,92,1971,.
Professional sports,92,1971,.
Public service/politics,92,1971,123
Real estate,92,1971,.
Veteran,92,1971,132
New Occupations,92,1971,.
Artistic/Creative,92,1971,.
Healthcare,92,1971,.
Homemaker/Domestic,92,1971,.
Science,92,1971,0
Secreterial/clerical,92,1971,.
Technical/Trade,92,1971,.
Miscellaneous,92,1971,.
Acting/entertainer,93,1973,.
Aeronautics,93,1973,.
Agriculture,93,1973,24
Business or banking,93,1973,81
Clergy,93,1973,2
Congressional aide,93,1973,8
Education,93,1973,18
Engineering,93,1973,1
Journalism,93,1973,7
Labor leader,93,1973,0
Law,93,1973,86
Law enforcement,93,1973,1
Medicine,93,1973,2
Military,93,1973,.
Professional sports,93,1973,.
Public service/politics,93,1973,151
Real estate,93,1973,.
Veteran,93,1973,146
New Occupations,93,1973,.
Artistic/Creative,93,1973,.
Healthcare,93,1973,.
Homemaker/Domestic,93,1973,.
Science,93,1973,0
Secreterial/clerical,93,1973,.
Technical/Trade,93,1973,.
Miscellaneous,93,1973,.
Acting/entertainer,94,1975,.
Aeronautics,94,1975,.
Agriculture,94,1975,17
Business or banking,94,1975,57
Clergy,94,1975,1
Congressional aide,94,1975,5
Education,94,1975,13
Engineering,94,1975,2
Journalism,94,1975,5
Labor leader,94,1975,0
Law,94,1975,63
Law enforcement,94,1975,0
Medicine,94,1975,2
Military,94,1975,.
Professional sports,94,1975,.
Public service/politics,94,1975,111
Real estate,94,1975,.
Veteran,94,1975,110
New Occupations,94,1975,.
Artistic/Creative,94,1975,.
Healthcare,94,1975,.
Homemaker/Domestic,94,1975,.
Science,94,1975,0
Secreterial/clerical,94,1975,.
Technical/Trade,94,1975,.
Miscellaneous,94,1975,.
Acting/entertainer,95,1977,1
Aeronautics,95,1977,0
Agriculture,95,1977,8
Business or banking,95,1977,47
Clergy,95,1977,2
Congressional aide,95,1977,8
Education,95,1977,15
Engineering,95,1977,2
Journalism,95,1977,8
Labor leader,95,1977,1
Law,95,1977,68
Law enforcement,95,1977,1
Medicine,95,1977,2
Military,95,1977,0
Professional sports,95,1977,1
Public service/politics,95,1977,23
Real estate,95,1977,1
Veteran,95,1977,106
New Occupations,95,1977,.
Artistic/Creative,95,1977,1
Healthcare,95,1977,0
Homemaker/Domestic,95,1977,1
Science,95,1977,0
Secreterial/clerical,95,1977,0
Technical/Trade,95,1977,0
Miscellaneous,95,1977,1
Acting/entertainer,96,1979,1
Aeronautics,96,1979,0
Agriculture,96,1979,13
Business or banking,96,1979,51
Clergy,96,1979,2
Congressional aide,96,1979,9
Education,96,1979,16
Engineering,96,1979,2
Journalism,96,1979,8
Labor leader,96,1979,1
Law,96,1979,67
Law enforcement,96,1979,0
Medicine,96,1979,4
Military,96,1979,0
Professional sports,96,1979,1
Public service/politics,96,1979,9
Real estate,96,1979,5
Veteran,96,1979,109
New Occupations,96,1979,.
Artistic/Creative,96,1979,1
Healthcare,96,1979,1
Homemaker/Domestic,96,1979,1
Science,96,1979,0
Secreterial/clerical,96,1979,0
Technical/Trade,96,1979,1
Miscellaneous,96,1979,1
Acting/entertainer,97,1981,5
Aeronautics,97,1981,3
Agriculture,97,1981,22
Business or banking,97,1981,69
Clergy,97,1981,0
Congressional aide,97,1981,11
Education,97,1981,22
Engineering,97,1981,4
Journalism,97,1981,13
Labor leader,97,1981,0
Law,97,1981,76
Law enforcement,97,1981,3
Medicine,97,1981,3
Military,97,1981,0
Professional sports,97,1981,1
Public service/politics,97,1981,19
Real estate,97,1981,13
Veteran,97,1981,122
New Occupations,97,1981,.
Artistic/Creative,97,1981,6
Healthcare,97,1981,2
Homemaker/Domestic,97,1981,0
Science,97,1981,0
Secreterial/clerical,97,1981,0
Technical/Trade,97,1981,5
Miscellaneous,97,1981,1
Acting/entertainer,98,1983,3
Aeronautics,98,1983,3
Agriculture,98,1983,17
Business or banking,98,1983,56
Clergy,98,1983,0
Congressional aide,98,1983,12
Education,98,1983,15
Engineering,98,1983,3
Journalism,98,1983,7
Labor leader,98,1983,0
Law,98,1983,68
Law enforcement,98,1983,3
Medicine,98,1983,2
Military,98,1983,1
Professional sports,98,1983,1
Public service/politics,98,1983,7
Real estate,98,1983,12
Veteran,98,1983,102
New Occupations,98,1983,.
Artistic/Creative,98,1983,3
Healthcare,98,1983,2
Homemaker/Domestic,98,1983,0
Science,98,1983,0
Secreterial/clerical,98,1983,0
Technical/Trade,98,1983,3
Miscellaneous,98,1983,1
Acting/entertainer,99,1985,4
Aeronautics,99,1985,3
Agriculture,99,1985,16
Business or banking,99,1985,66
Clergy,99,1985,0
Congressional aide,99,1985,13
Education,99,1985,15
Engineering,99,1985,4
Journalism,99,1985,8
Labor leader,99,1985,0
Law,99,1985,69
Law enforcement,99,1985,2
Medicine,99,1985,1
Military,99,1985,1
Professional sports,99,1985,1
Public service/politics,99,1985,17
Real estate,99,1985,15
Veteran,99,1985,101
New Occupations,99,1985,.
Artistic/Creative,99,1985,3
Healthcare,99,1985,1
Homemaker/Domestic,99,1985,1
Science,99,1985,0
Secreterial/clerical,99,1985,0
Technical/Trade,99,1985,0
Miscellaneous,99,1985,2
Acting/entertainer,100,1987,3
Aeronautics,100,1987,2
Agriculture,100,1987,14
Business or banking,100,1987,61
Clergy,100,1987,0
Congressional aide,100,1987,16
Education,100,1987,18
Engineering,100,1987,3
Journalism,100,1987,9
Labor leader,100,1987,0
Law,100,1987,64
Law enforcement,100,1987,0
Medicine,100,1987,1
Military,100,1987,0
Professional sports,100,1987,2
Public service/politics,100,1987,13
Real estate,100,1987,16
Veteran,100,1987,94
New Occupations,100,1987,.
Artistic/Creative,100,1987,1
Healthcare,100,1987,1
Homemaker/Domestic,100,1987,1
Science,100,1987,0
Secreterial/clerical,100,1987,0
Technical/Trade,100,1987,1
Miscellaneous,100,1987,1
Acting/entertainer,101,1989,3
Aeronautics,101,1989,3
Agriculture,101,1989,13
Business or banking,101,1989,60
Clergy,101,1989,0
Congressional aide,101,1989,15
Education,101,1989,21
Engineering,101,1989,3
Journalism,101,1989,9
Labor leader,101,1989,0
Law,101,1989,61
Law enforcement,101,1989,2
Medicine,101,1989,1
Military,101,1989,0
Professional sports,101,1989,2
Public service/politics,101,1989,10
Real estate,101,1989,16
Veteran,101,1989,91
New Occupations,101,1989,.
Artistic/Creative,101,1989,1
Healthcare,101,1989,1
Homemaker/Domestic,101,1989,1
Science,101,1989,1
Secreterial/clerical,101,1989,0
Technical/Trade,101,1989,1
Miscellaneous,101,1989,2
Acting/entertainer,102,1991,2
Aeronautics,102,1991,1
Agriculture,102,1991,10
Business or banking,102,1991,60
Clergy,102,1991,0
Congressional aide,102,1991,14
Education,102,1991,19
Engineering,102,1991,3
Journalism,102,1991,8
Labor leader,102,1991,0
Law,102,1991,56
Law enforcement,102,1991,2
Medicine,102,1991,0
Military,102,1991,0
Professional sports,102,1991,1
Public service/politics,102,1991,12
Real estate,102,1991,19
Veteran,102,1991,89
New Occupations,102,1991,.
Artistic/Creative,102,1991,2
Healthcare,102,1991,5
Homemaker/Domestic,102,1991,1
Science,102,1991,2
Secreterial/clerical,102,1991,0
Technical/Trade,102,1991,2
Miscellaneous,102,1991,3
Acting/entertainer,103,1993,5
Aeronautics,103,1993,2
Agriculture,103,1993,13
Business or banking,103,1993,68
Clergy,103,1993,1
Congressional aide,103,1993,16
Education,103,1993,17
Engineering,103,1993,3
Journalism,103,1993,10
Labor leader,103,1993,0
Law,103,1993,60
Law enforcement,103,1993,2
Medicine,103,1993,1
Military,103,1993,0
Professional sports,103,1993,1
Public service/politics,103,1993,24
Real estate,103,1993,16
Veteran,103,1993,78
New Occupations,103,1993,.
Artistic/Creative,103,1993,1
Healthcare,103,1993,2
Homemaker/Domestic,103,1993,1
Science,103,1993,1
Secreterial/clerical,103,1993,0
Technical/Trade,103,1993,3
Miscellaneous,103,1993,4
Acting/entertainer,104,1995,4
Aeronautics,104,1995,2
Agriculture,104,1995,18
Business or banking,104,1995,100
Clergy,104,1995,2
Congressional aide,104,1995,23
Education,104,1995,30
Engineering,104,1995,5
Journalism,104,1995,4
Labor leader,104,1995,0
Law,104,1995,76
Law enforcement,104,1995,7
Medicine,104,1995,8
Military,104,1995,0
Professional sports,104,1995,2
Public service/politics,104,1995,29
Real estate,104,1995,21
Veteran,104,1995,90
New Occupations,104,1995,.
Artistic/Creative,104,1995,1
Healthcare,104,1995,1
Homemaker/Domestic,104,1995,1
Science,104,1995,3
Secreterial/clerical,104,1995,0
Technical/Trade,104,1995,2
Miscellaneous,104,1995,2
Acting/entertainer,105,1997,1
Aeronautics,105,1997,1
Agriculture,105,1997,14
Business or banking,105,1997,126
Clergy,105,1997,0
Congressional aide,105,1997,21
Education,105,1997,33
Engineering,105,1997,7
Journalism,105,1997,7
Labor leader,105,1997,0
Law,105,1997,85
Law enforcement,105,1997,2
Medicine,105,1997,9
Military,105,1997,1
Professional sports,105,1997,3
Public service/politics,105,1997,46
Real estate,105,1997,20
Veteran,105,1997,81
New Occupations,105,1997,.
Artistic/Creative,105,1997,1
Healthcare,105,1997,1
Homemaker/Domestic,105,1997,.
Science,105,1997,.
Secreterial/clerical,105,1997,.
Technical/Trade,105,1997,1
Miscellaneous,105,1997,5
Acting/entertainer,106,1999,1
Aeronautics,106,1999,1
Agriculture,106,1999,14
Business or banking,106,1999,106
Clergy,106,1999,1
Congressional aide,106,1999,23
Education,106,1999,34
Engineering,106,1999,8
Journalism,106,1999,6
Labor leader,106,1999,0
Law,106,1999,76
Law enforcement,106,1999,2
Medicine,106,1999,10
Military,106,1999,1
Professional sports,106,1999,2
Public service/politics,106,1999,49
Real estate,106,1999,17
Veteran,106,1999,81
New Occupations,106,1999,.
Artistic/Creative,106,1999,1
Healthcare,106,1999,1
Homemaker/Domestic,106,1999,.
Science,106,1999,.
Secreterial/clerical,106,1999,.
Technical/Trade,106,1999,2
Miscellaneous,106,1999,5
Acting/entertainer,107,2001,1
Aeronautics,107,2001,1
Agriculture,107,2001,17
Business or banking,107,2001,103
Clergy,107,2001,1
Congressional aide,107,2001,19
Education,107,2001,38
Engineering,107,2001,8
Journalism,107,2001,7
Labor leader,107,2001,1
Law,107,2001,71
Law enforcement,107,2001,3
Medicine,107,2001,8
Military,107,2001,2
Professional sports,107,2001,3
Public service/politics,107,2001,56
Real estate,107,2001,22
Veteran,107,2001,70
New Occupations,107,2001,.
Artistic/Creative,107,2001,1
Healthcare,107,2001,1
Homemaker/Domestic,107,2001,1
Science,107,2001,.
Secreterial/clerical,107,2001,2
Technical/Trade,107,2001,2
Miscellaneous,107,2001,5
Acting/entertainer,108,2003,2
Aeronautics,108,2003,2
Agriculture,108,2003,18
Business or banking,108,2003,109
Clergy,108,2003,1
Congressional aide,108,2003,19
Education,108,2003,37
Engineering,108,2003,7
Journalism,108,2003,7
Labor leader,108,2003,2
Law,108,2003,75
Law enforcement,108,2003,3
Medicine,108,2003,11
Military,108,2003,3
Professional sports,108,2003,1
Public service/politics,108,2003,68
Real estate,108,2003,27
Veteran,108,2003,60
New Occupations,108,2003,.
Artistic/Creative,108,2003,1
Healthcare,108,2003,1
Homemaker/Domestic,108,2003,2
Science,108,2003,.
Secreterial/clerical,108,2003,2
Technical/Trade,108,2003,3
Miscellaneous,108,2003,3
Acting/entertainer,109,2005,2
Aeronautics,109,2005,2
Agriculture,109,2005,20
Business or banking,109,2005,140
Clergy,109,2005,1
Congressional aide,109,2005,19
Education,109,2005,39
Engineering,109,2005,3
Journalism,109,2005,8
Labor leader,109,2005,5
Law,109,2005,88
Law enforcement,109,2005,3
Medicine,109,2005,12
Military,109,2005,3
Professional sports,109,2005,2
Public service/politics,109,2005,93
Real estate,109,2005,36
Veteran,109,2005,58
New Occupations,109,2005,.
Artistic/Creative,109,2005,1
Healthcare,109,2005,2
Homemaker/Domestic,109,2005,2
Science,109,2005,4
Secreterial/clerical,109,2005,4
Technical/Trade,109,2005,2
Miscellaneous,109,2005,2
Acting/entertainer,110,2007,0
Aeronautics,110,2007,2
Agriculture,110,2007,15
Business or banking,110,2007,96
Clergy,110,2007,2
Congressional aide,110,2007,17
Education,110,2007,33
Engineering,110,2007,1
Journalism,110,2007,4
Labor leader,110,2007,6
Law,110,2007,68
Law enforcement,110,2007,3
Medicine,110,2007,10
Military,110,2007,2
Professional sports,110,2007,0
Public service/politics,110,2007,68
Real estate,110,2007,32
Veteran,110,2007,50
New Occupations,110,2007,.
Artistic/Creative,110,2007,1
Healthcare,110,2007,3
Homemaker/Domestic,110,2007,4
Science,110,2007,3
Secreterial/clerical,110,2007,5
Technical/Trade,110,2007,1
Miscellaneous,110,2007,0
Acting/entertainer,111,2009,0
Aeronautics,111,2009,.
Agriculture,111,2009,15
Business or banking,111,2009,113
Clergy,111,2009,0
Congressional aide,111,2009,13
Education,111,2009,25
Engineering,111,2009,2
Journalism,111,2009,4
Labor leader,111,2009,5
Law,111,2009,64
Law enforcement,111,2009,3
Medicine,111,2009,12
Military,111,2009,4
Professional sports,111,2009,0
Public service/politics,111,2009,80
Real estate,111,2009,27
Veteran,111,2009,41
New Occupations,111,2009,.
Artistic/Creative,111,2009,0
Healthcare,111,2009,3
Homemaker/Domestic,111,2009,4
Science,111,2009,3
Secreterial/clerical,111,2009,4
Technical/Trade,111,2009,2
Miscellaneous,111,2009,0
Acting/entertainer,112,2011,1
Aeronautics,112,2011,2
Agriculture,112,2011,19
Business or banking,112,2011,122
Clergy,112,2011,2
Congressional aide,112,2011,13
Education,112,2011,27
Engineering,112,2011,3
Journalism,112,2011,6
Labor leader,112,2011,7
Law,112,2011,75
Law enforcement,112,2011,6
Medicine,112,2011,17
Military,112,2011,7
Professional sports,112,2011,0
Public service/politics,112,2011,75
Real estate,112,2011,35
Veteran,112,2011,58
New Occupations,112,2011,.
Artistic/Creative,112,2011,0
Healthcare,112,2011,6
Homemaker/Domestic,112,2011,6
Science,112,2011,2
Secreterial/clerical,112,2011,5
Technical/Trade,112,2011,2
Miscellaneous,112,2011,1
Acting/entertainer,113,2013,1
Aeronautics,113,2013,1
Agriculture,113,2013,22
Business or banking,113,2013,116
Clergy,113,2013,4
Congressional aide,113,2013,17
Education,113,2013,29
Engineering,113,2013,3
Journalism,113,2013,6
Labor leader,113,2013,9
Law,113,2013,77
Law enforcement,113,2013,5
Medicine,113,2013,17
Military,113,2013,7
Professional sports,113,2013,0
Public service/politics,113,2013,76
Real estate,113,2013,30
Veteran,113,2013,58
New Occupations,113,2013,.
Artistic/Creative,113,2013,1
Healthcare,113,2013,5
Homemaker/Domestic,113,2013,4
Science,113,2013,1
Secreterial/clerical,113,2013,4
Technical/Trade,113,2013,4
Miscellaneous,113,2013,0
Acting/entertainer,114,2015,1
Aeronautics,114,2015,2
Agriculture,114,2015,23
Business or banking,114,2015,117
Clergy,114,2015,4
Congressional aide,114,2015,37
Education,114,2015,30
Engineering,114,2015,6
Journalism,114,2015,7
Labor leader,114,2015,12
Law,114,2015,74
Law enforcement,114,2015,4
Medicine,114,2015,16
Military,114,2015,10
Professional sports,114,2015,1
Public service/politics,114,2015,83
Real estate,114,2015,28
Veteran,114,2015,59
New Occupations,114,2015,
Artistic/Creative,114,2015,1
Healthcare,114,2015,8
Homemaker/Domestic,114,2015,5
Science,114,2015,1
Secreterial/Clerical,114,2015,3
Technical/Trade,114,2015,5
Miscellaneous,114,2015,1
Acting/entertainer,115,2017,1
Aeronautics,115,2017,3
Agriculture,115,2017,19
Business or banking,115,2017,111
Clergy,115,2017,4
Congressional aide,115,2017,37
Education,115,2017,31
Engineering,115,2017,6
Journalism,115,2017,10
Labor leader,115,2017,11
Law,115,2017,78
Law enforcement,115,2017,5
Medicine,115,2017,15
Military,115,2017,12
Professional sports,115,2017,1
Public service/politics,115,2017,85
Real estate,115,2017,25
Veteran,115,2017,63
New Occupations,115,2017,.
Artistic/Creative,115,2017,1
Healthcare,115,2017,8
Homemaker/Domestic,115,2017,5
Science,115,2017,1
Secreterial/clerical,115,2017,3
Technical/Trade,115,2017,5
Miscellaneous,115,2017,1
Acting/entertainer,116,2019,1
Aeronautics,116,2019,2
Agriculture,116,2019,18
Business or banking,116,2019,94
Clergy,116,2019,4
Congressional aide,116,2019,28
Education,116,2019,17
Engineering,116,2019,6
Journalism,116,2019,5
Labor leader,116,2019,7
Law,116,2019,55
Law enforcement,116,2019,4
Medicine,116,2019,16
Military,116,2019,10
Professional sports,116,2019,2
Public service/politics,116,2019,60
Real estate,116,2019,21
Veteran,116,2019,53
New Occupations,116,2019,.
Artistic/Creative,116,2019,3
Healthcare,116,2019,5
Homemaker/Domestic,116,2019,2
Science,116,2019,3
Secreterial/Clerical,116,2019,2
Technical/Trade,116,2019,3
Miscellaneous,116,2019,1
