Congress,Year,Party,Religion,Members
91,1969,Total,Mormon,.
91,1969,D,Presbyterian,26
91,1969,R,Presbyterian,36
91,1969,Total,Presbyterian,62
91,1969,D,Protestant- other,.
91,1969,R,Protestant- other,.
91,1969,Total,Protestant- other,.
91,1969,D,Total,245
91,1969,R,Total,187
91,1969,Total,Total,432
92,1971,D,All other,50
92,1971,R,All other,49
92,1971,Total,All other,98
92,1971,D,Baptist,32
92,1971,R,Baptist,10
92,1971,Total,Baptist,42
92,1971,D,Catholic,77
92,1971,R,Catholic,24
92,1971,Total,Catholic,101
92,1971,D,Episcopalian,27
92,1971,R,Episcopalian,22
92,1971,Total,Episcopalian,49
92,1971,D,Jewish,10
92,1971,R,Jewish,2
92,1971,Total,Jewish,12
92,1971,D,Lutheran,.
92,1971,R,Lutheran,.
92,1971,Total,Lutheran,.
92,1971,D,Methodist,33
92,1971,R,Methodist,32
92,1971,Total,Methodist,65
92,1971,D,Mormon,.
92,1971,R,Mormon,.
92,1971,Total,Mormon,.
92,1971,D,Presbyterian,26
92,1971,R,Presbyterian,41
92,1971,Total,Presbyterian,67
92,1971,D,Protestant- other,.
92,1971,R,Protestant- other,.
92,1971,Total,Protestant- other,.
92,1971,D,Total,255
92,1971,R,Total,180
92,1971,Total,Total,435
93,1973,D,All other,39
93,1973,R,All other,36
93,1973,Total,All other,76
93,1973,D,Baptist,33
93,1973,R,Baptist,12
93,1973,Total,Baptist,45
93,1973,D,Catholic,69
93,1973,R,Catholic,30
93,1973,Total,Catholic,99
93,1973,D,Episcopalian,24
93,1973,R,Episcopalian,26
93,1973,Total,Episcopalian,50
93,1973,D,Jewish,10
93,1973,R,Jewish,2
93,1973,Total,Jewish,12
93,1973,D,Lutheran,2
93,1973,R,Lutheran,11
93,1973,Total,Lutheran,13
93,1973,D,Methodist,30
93,1973,R,Methodist,33
93,1973,Total,Methodist,63
93,1973,D,Mormon,.
93,1973,R,Mormon,.
93,1973,Total,Mormon,.
93,1973,D,Presbyterian,25
93,1973,R,Presbyterian,35
93,1973,Total,Presbyterian,60
93,1973,D,Protestant- other,8
93,1973,R,Protestant- other,7
93,1973,Total,Protestant- other,15
93,1973,D,Total,240
93,1973,R,Total,192
93,1973,Total,Total,432
94,1975,D,All other,40
94,1975,R,All other,28
94,1975,Total,All other,68
94,1975,D,Baptist,36
94,1975,R,Baptist,10
94,1975,Total,Baptist,46
94,1975,D,Catholic,87
94,1975,R,Catholic,22
94,1975,Total,Catholic,109
94,1975,D,Episcopalian,30
94,1975,R,Episcopalian,21
94,1975,Total,Episcopalian,51
94,1975,D,Jewish,17
94,1975,R,Jewish,3
94,1975,Total,Jewish,20
94,1975,D,Lutheran,3
94,1975,R,Lutheran,8
94,1975,Total,Lutheran,11
94,1975,D,Methodist,40
94,1975,R,Methodist,24
94,1975,Total,Methodist,64
94,1975,D,Mormon,.
94,1975,R,Mormon,.
94,1975,Total,Mormon,.
94,1975,D,Presbyterian,24
94,1975,R,Presbyterian,25
94,1975,Total,Presbyterian,49
94,1975,D,Protestant- other,14
94,1975,R,Protestant- other,3
94,1975,Total,Protestant- other,17
94,1975,D,Total,291
94,1975,R,Total,144
94,1975,Total,Total,435
95,1977,D,All other,47
95,1977,R,All other,28
95,1977,Total,All other,76
95,1977,D,Baptist,37
95,1977,R,Baptist,10
95,1977,Total,Baptist,47
95,1977,D,Catholic,95
95,1977,R,Catholic,24
95,1977,Total,Catholic,118
95,1977,D,Episcopalian,25
95,1977,R,Episcopalian,21
95,1977,Total,Episcopalian,46
95,1977,D,Jewish,19
95,1977,R,Jewish,3
95,1977,Total,Jewish,22
95,1977,D,Lutheran,5
95,1977,R,Lutheran,9
95,1977,Total,Lutheran,14
95,1977,D,Methodist,33
95,1977,R,Methodist,24
95,1977,Total,Methodist,57
95,1977,D,Mormon,.
95,1977,R,Mormon,.
95,1977,Total,Mormon,.
95,1977,D,Presbyterian,23
95,1977,R,Presbyterian,23
95,1977,Total,Presbyterian,46
95,1977,D,Protestant- other,8
95,1977,R,Protestant- other,1
95,1977,Total,Protestant- other,9
95,1977,D,Total,292
95,1977,R,Total,143
95,1977,Total,Total,435
96,1979,D,All other,42
96,1979,R,All other,32
96,1979,Total,All other,75
96,1979,D,Baptist,33
96,1979,R,Baptist,10
96,1979,Total,Baptist,43
96,1979,D,Catholic,94
96,1979,R,Catholic,23
96,1979,Total,Catholic,117
96,1979,D,Episcopalian,29
96,1979,R,Episcopalian,22
96,1979,Total,Episcopalian,51
96,1979,D,Jewish,18
96,1979,R,Jewish,5
96,1979,Total,Jewish,23
96,1979,D,Lutheran,5
96,1979,R,Lutheran,11
96,1979,Total,Lutheran,16
96,1979,D,Methodist,31
96,1979,R,Methodist,26
96,1979,Total,Methodist,57
96,1979,D,Mormon,.
96,1979,R,Mormon,.
96,1979,Total,Mormon,.
96,1979,D,Presbyterian,24
96,1979,R,Presbyterian,28
96,1979,Total,Presbyterian,52
96,1979,D,Protestant- other,.
96,1979,R,Protestant- other,.
96,1979,Total,Protestant- other,.
96,1979,D,Total,276
96,1979,R,Total,157
96,1979,Total,Total,433
97,1981,D,All other,35
97,1981,R,All other,31
97,1981,Total,All other,66
97,1981,D,Baptist,30
97,1981,R,Baptist,13
97,1981,Total,Baptist,43
97,1981,D,Catholic,79
97,1981,R,Catholic,40
97,1981,Total,Catholic,119
97,1981,D,Episcopalian,25
97,1981,R,Episcopalian,27
97,1981,Total,Episcopalian,52
97,1981,D,Jewish,20
97,1981,R,Jewish,6
97,1981,Total,Jewish,26
97,1981,D,Lutheran,7
97,1981,R,Lutheran,14
97,1981,Total,Lutheran,21
97,1981,D,Methodist,25
97,1981,R,Methodist,28
97,1981,Total,Methodist,53
97,1981,D,Mormon,2
97,1981,R,Mormon,5
97,1981,Total,Mormon,7
97,1981,D,Presbyterian,19
97,1981,R,Presbyterian,28
97,1981,Total,Presbyterian,47
97,1981,D,Protestant- other,.
97,1981,R,Protestant- other,.
97,1981,Total,Protestant- other,.
97,1981,D,Total,242
97,1981,R,Total,192
97,1981,Total,Total,434
98,1983,D,All other,33
98,1983,R,All other,32
98,1983,Total,All other,65
98,1983,D,Baptist,30
98,1983,R,Baptist,8
98,1983,Total,Baptist,38
98,1983,D,Catholic,87
98,1983,R,Catholic,37
98,1983,Total,Catholic,124
98,1983,D,Episcopalian,23
98,1983,R,Episcopalian,19
98,1983,Total,Episcopalian,42
98,1983,D,Jewish,24
98,1983,R,Jewish,5
98,1983,Total,Jewish,29
98,1983,D,Lutheran,9
98,1983,R,Lutheran,12
98,1983,Total,Lutheran,21
98,1983,D,Methodist,34
98,1983,R,Methodist,22
98,1983,Total,Methodist,56
98,1983,D,Mormon,3
98,1983,R,Mormon,6
98,1983,Total,Mormon,9
98,1983,D,Presbyterian,24
98,1983,R,Presbyterian,24
98,1983,Total,Presbyterian,48
98,1983,D,Protestant- other,.
98,1983,R,Protestant- other,.
98,1983,Total,Protestant- other,.
98,1983,D,Total,267
98,1983,R,Total,165
98,1983,Total,Total,432
99,1985,D,All other,29
99,1985,R,All other,32
99,1985,Total,All other,61
99,1985,D,Baptist,28
99,1985,R,Baptist,10
99,1985,Total,Baptist,38
99,1985,D,Catholic,81
99,1985,R,Catholic,42
99,1985,Total,Catholic,123
99,1985,D,Episcopalian,23
99,1985,R,Episcopalian,22
99,1985,Total,Episcopalian,45
99,1985,D,Jewish,24
99,1985,R,Jewish,6
99,1985,Total,Jewish,30
99,1985,D,Lutheran,8
99,1985,R,Lutheran,12
99,1985,Total,Lutheran,20
99,1985,D,Methodist,35
99,1985,R,Methodist,27
99,1985,Total,Methodist,62
99,1985,D,Mormon,4
99,1985,R,Mormon,5
99,1985,Total,Mormon,9
99,1985,D,Presbyterian,21
99,1985,R,Presbyterian,26
99,1985,Total,Presbyterian,47
99,1985,D,Protestant- other,.
99,1985,R,Protestant- other,.
99,1985,Total,Protestant- other,.
99,1985,D,Total,253
99,1985,R,Total,182
99,1985,Total,Total,435
100,1989,D,All other,29
100,1989,R,All other,36
100,1989,Total,All other,65
100,1989,D,Baptist,33
100,1989,R,Baptist,10
100,1989,Total,Baptist,43
100,1989,D,Catholic,83
100,1989,R,Catholic,40
100,1989,Total,Catholic,123
100,1989,D,Episcopalian,20
100,1989,R,Episcopalian,19
100,1989,Total,Episcopalian,39
100,1989,D,Jewish,24
100,1989,R,Jewish,4
100,1989,Total,Jewish,28
100,1989,D,Lutheran,9
100,1989,R,Lutheran,11
100,1989,Total,Lutheran,20
100,1989,D,Methodist,37
100,1989,R,Methodist,26
100,1989,Total,Methodist,63
100,1989,D,Mormon,3
100,1989,R,Mormon,5
100,1989,Total,Mormon,8
100,1989,D,Presbyterian,19
100,1989,R,Presbyterian,26
100,1989,Total,Presbyterian,45
100,1989,D,Protestant- other,.
100,1989,R,Protestant- other,.
100,1989,Total,Protestant- other,.
100,1989,D,Total,257
100,1989,R,Total,177
100,1989,Total,Total,434
101,1989,D,All other,30
101,1989,R,All other,33
101,1989,Total,All other,64
101,1989,D,Baptist,34
101,1989,R,Baptist,11
101,1989,Total,Baptist,45
101,1989,D,Catholic,78
101,1989,R,Catholic,38
101,1989,Total,Catholic,116
101,1989,D,Episcopalian,22
101,1989,R,Episcopalian,20
101,1989,Total,Episcopalian,42
101,1989,D,Jewish,26
101,1989,R,Jewish,5
101,1989,Total,Jewish,31
101,1989,D,Lutheran,10
101,1989,R,Lutheran,11
101,1989,Total,Lutheran,21
101,1989,D,Methodist,37
101,1989,R,Methodist,26
101,1989,Total,Methodist,63
101,1989,D,Mormon,3
101,1989,R,Mormon,5
101,1989,Total,Mormon,8
101,1989,D,Presbyterian,17
101,1989,R,Presbyterian,26
101,1989,Total,Presbyterian,43
101,1989,D,Protestant- other,.
101,1989,R,Protestant- other,.
101,1989,Total,Protestant- other,.
101,1989,D,Total,257
101,1989,R,Total,175
101,1989,Total,Total,433
102,1991,D,All other,37
102,1991,R,All other,33
102,1991,Total,All other,70
102,1991,D,Baptist,33
102,1991,R,Baptist,12
102,1991,Total,Baptist,45
102,1991,D,Catholic,84
102,1991,R,Catholic,34
102,1991,Total,Catholic,118
102,1991,D,Episcopalian,23
102,1991,R,Episcopalian,16
102,1991,Total,Episcopalian,39
102,1991,D,Jewish,27
102,1991,R,Jewish,6
102,1991,Total,Jewish,33
102,1991,D,Lutheran,9
102,1991,R,Lutheran,9
102,1991,Total,Lutheran,18
102,1991,D,Methodist,37
102,1991,R,Methodist,26
102,1991,Total,Methodist,63
102,1991,D,Mormon,4
102,1991,R,Mormon,4
102,1991,Total,Mormon,8
102,1991,D,Presbyterian,15
102,1991,R,Presbyterian,26
102,1991,Total,Presbyterian,41
102,1991,D,Protestant- other,.
102,1991,R,Protestant- other,.
102,1991,Total,Protestant- other,.
102,1991,D,Total,269
102,1991,R,Total,166
102,1991,Total,Total,435
103,1993,D,All other,37
103,1993,R,All other,35
103,1993,Total,All other,72
103,1993,D,Baptist,35
103,1993,R,Baptist,14
103,1993,Total,Baptist,49
103,1993,D,Catholic,77
103,1993,R,Catholic,39
103,1993,Total,Catholic,116
103,1993,D,Episcopalian,18
103,1993,R,Episcopalian,17
103,1993,Total,Episcopalian,35
103,1993,D,Jewish,28
103,1993,R,Jewish,4
103,1993,Total,Jewish,32
103,1993,D,Lutheran,9
103,1993,R,Lutheran,8
103,1993,Total,Lutheran,17
103,1993,D,Methodist,31
103,1993,R,Methodist,25
103,1993,Total,Methodist,54
103,1993,D,Mormon,2
103,1993,R,Mormon,7
103,1993,Total,Mormon,9
103,1993,D,Presbyterian,21
103,1993,R,Presbyterian,26
103,1993,Total,Presbyterian,47
103,1993,D,Protestant- other,.
103,1993,R,Protestant- other,.
103,1993,Total,Protestant- other,.
103,1993,D,Total,258
103,1993,R,Total,175
103,1993,Total,Total,435
104,1995,D,All other,27
104,1995,R,All other,51
104,1995,Total,All other,78
104,1995,D,Baptist,28
104,1995,R,Baptist,23
104,1995,Total,Baptist,51
104,1995,D,Catholic,71
104,1995,R,Catholic,56
104,1995,Total,Catholic,127
104,1995,D,Episcopalian,13
104,1995,R,Episcopalian,22
104,1995,Total,Episcopalian,33
104,1995,D,Jewish,21
104,1995,R,Jewish,4
104,1995,Total,Jewish,25
104,1995,D,Lutheran,6
104,1995,R,Lutheran,9
104,1995,Total,Lutheran,15
104,1995,D,Methodist,21
104,1995,R,Methodist,27
104,1995,Total,Methodist,48
104,1995,D,Mormon,1
104,1995,R,Mormon,9
104,1995,Total,Mormon,10
104,1995,D,Presbyterian,17
104,1995,R,Presbyterian,29
104,1995,Total,Presbyterian,46
104,1995,D,Protestant- other,.
104,1995,R,Protestant- other,.
104,1995,Total,Protestant- other,.
104,1995,D,Total,205
104,1995,R,Total,230
104,1995,Total,Total,435
105,1997,D,All other,16
105,1997,R,All other,17
105,1997,Total,All other,33
105,1997,D,Baptist,31
105,1997,R,Baptist,27
105,1997,Total,Baptist,58
105,1997,D,Catholic,76
105,1997,R,Catholic,51
105,1997,Total,Catholic,127
105,1997,D,Episcopalian,10
105,1997,R,Episcopalian,21
105,1997,Total,Episcopalian,31
105,1997,D,Jewish,22
105,1997,R,Jewish,3
105,1997,Total,Jewish,25
105,1997,D,Lutheran,9
105,1997,R,Lutheran,8
105,1997,Total,Lutheran,17
105,1997,D,Methodist,17
105,1997,R,Methodist,29
105,1997,Total,Methodist,46
105,1997,D,Mormon,1
105,1997,R,Mormon,10
105,1997,Total,Mormon,11
105,1997,D,Presbyterian,15
105,1997,R,Presbyterian,28
105,1997,Total,Presbyterian,43
105,1997,D,Protestant- other,11
105,1997,R,Protestant- other,33
105,1997,Total,Protestant- other,44
105,1997,D,Total,208
105,1997,R,Total,227
105,1997,Total,Total,435
106,1999,D,All other,17
106,1999,R,All other,16
106,1999,Total,All other,33
106,1999,D,Baptist,34
106,1999,R,Baptist,28
106,1999,Total,Baptist,62
106,1999,D,Catholic,76
106,1999,R,Catholic,50
106,1999,Total,Catholic,126
106,1999,D,Episcopalian,9
106,1999,R,Episcopalian,21
106,1999,Total,Episcopalian,30
106,1999,D,Jewish,22
106,1999,R,Jewish,1
106,1999,Total,Jewish,23
106,1999,D,Lutheran,9
106,1999,R,Lutheran,8
106,1999,Total,Lutheran,17
106,1999,D,Methodist,16
106,1999,R,Methodist,34
106,1999,Total,Methodist,50
106,1999,D,Mormon,2
106,1999,R,Mormon,10
106,1999,Total,Mormon,12
106,1999,D,Presbyterian,15
106,1999,R,Presbyterian,26
106,1999,Total,Presbyterian,41
106,1999,D,Protestant- other,12
106,1999,R,Protestant- other,28
106,1999,Total,Protestant- other,40
106,1999,D,Total,212
106,1999,R,Total,222
106,1999,Total,Total,434
107,2001,D,All other,16
107,2001,R,All other,19
107,2001,Total,All other,35
107,2001,D,Baptist,33
107,2001,R,Baptist,30
107,2001,Total,Baptist,64
107,2001,D,Catholic,76
107,2001,R,Catholic,49
107,2001,Total,Catholic,125
107,2001,D,Episcopalian,7
107,2001,R,Episcopalian,23
107,2001,Total,Episcopalian,30
107,2001,D,Jewish,25
107,2001,R,Jewish,2
107,2001,Total,Jewish,27
107,2001,D,Lutheran,8
107,2001,R,Lutheran,8
107,2001,Total,Lutheran,16
107,2001,D,Methodist,16
107,2001,R,Methodist,34
107,2001,Total,Methodist,50
107,2001,D,Mormon,3
107,2001,R,Mormon,8
107,2001,Total,Mormon,11
107,2001,D,Presbyterian,15
107,2001,R,Presbyterian,23
107,2001,Total,Presbyterian,38
107,2001,D,Protestant- other,13
107,2001,R,Protestant- other,25
107,2001,Total,Protestant- other,38
107,2001,D,Total,212
107,2001,R,Total,221
107,2001,Total,Total,434
108,2003,D,All other,16
108,2003,R,All other,17
108,2003,Total,All other,33
108,2003,D,Baptist,33
108,2003,R,Baptist,33
108,2003,Total,Baptist,66
108,2003,D,Catholic,71
108,2003,R,Catholic,53
108,2003,Total,Catholic,124
108,2003,D,Episcopalian,10
108,2003,R,Episcopalian,24
108,2003,Total,Episcopalian,34
108,2003,D,Jewish,25
108,2003,R,Jewish,1
108,2003,Total,Jewish,26
108,2003,D,Lutheran,9
108,2003,R,Lutheran,10
108,2003,Total,Lutheran,19
108,2003,D,Methodist,16
108,2003,R,Methodist,34
108,2003,Total,Methodist,50
108,2003,D,Mormon,3
108,2003,R,Mormon,9
108,2003,Total,Mormon,12
108,2003,D,Presbyterian,11
108,2003,R,Presbyterian,26
108,2003,Total,Presbyterian,37
108,2003,D,Protestant- other,12
108,2003,R,Protestant- other,22
108,2003,Total,Protestant- other,34
108,2003,D,Total,206
108,2003,R,Total,229
108,2003,Total,Total,435
109,2005,D,All other,16
109,2005,R,All other,18
109,2005,Total,All other,34
109,2005,D,Baptist,29
109,2005,R,Baptist,36
109,2005,Total,Baptist,65
109,2005,D,Catholic,72
109,2005,R,Catholic,57
109,2005,Total,Catholic,129
109,2005,D,Episcopalian,9
109,2005,R,Episcopalian,23
109,2005,Total,Episcopalian,32
109,2005,D,Jewish,25
109,2005,R,Jewish,1
109,2005,Total,Jewish,26
109,2005,D,Lutheran,10
109,2005,R,Lutheran,8
109,2005,Total,Lutheran,18
109,2005,D,Methodist,18
109,2005,R,Methodist,32
109,2005,Total,Methodist,50
109,2005,D,Mormon,2
109,2005,R,Mormon,9
109,2005,Total,Mormon,11
109,2005,D,Presbyterian,11
109,2005,R,Presbyterian,25
109,2005,Total,Presbyterian,36
109,2005,D,Protestant- other,10
109,2005,R,Protestant- other,23
109,2005,Total,Protestant- other,33
109,2005,D,Total,202
109,2005,R,Total,232
109,2005,Total,Total,434
110,2007,D,All other,21
110,2007,R,All other,17
110,2007,Total,All other,38
110,2007,D,Baptist,28
110,2007,R,Baptist,32
110,2007,Total,Baptist,60
110,2007,D,Catholic,87
110,2007,R,Catholic,41
110,2007,Total,Catholic,128
110,2007,D,Episcopalian,8
110,2007,R,Episcopalian,20
110,2007,Total,Episcopalian,28
110,2007,D,Jewish,29
110,2007,R,Jewish,1
110,2007,Total,Jewish,30
110,2007,D,Lutheran,9
110,2007,R,Lutheran,7
110,2007,Total,Lutheran,16
110,2007,D,Methodist,23
110,2007,R,Methodist,28
110,2007,Total,Methodist,51
110,2007,D,Mormon,2
110,2007,R,Mormon,8
110,2007,Total,Mormon,10
110,2007,D,Presbyterian,13
110,2007,R,Presbyterian,21
110,2007,Total,Presbyterian,34
110,2007,D,Protestant- other,13
110,2007,R,Protestant- other,27
110,2007,Total,Protestant- other,40
110,2007,D,Total,233
110,2007,R,Total,202
110,2007,Total,Total,435
111,2009,D,All other,28
111,2009,R,All other,16
111,2009,Total,All other,44
111,2009,D,Baptist,29
111,2009,R,Baptist,28
111,2009,Total,Baptist,57
111,2009,D,Catholic,96
111,2009,R,Catholic,37
111,2009,Total,Catholic,133
111,2009,D,Episcopalian,13
111,2009,R,Episcopalian,18
111,2009,Total,Episcopalian,31
111,2009,D,Jewish,30
111,2009,R,Jewish,1
111,2009,Total,Jewish,31
111,2009,D,Lutheran,11
111,2009,R,Lutheran,9
111,2009,Total,Lutheran,20
111,2009,D,Methodist,23
111,2009,R,Methodist,23
111,2009,Total,Methodist,46
111,2009,D,Mormon,1
111,2009,R,Mormon,7
111,2009,Total,Mormon,8
111,2009,D,Presbyterian,15
111,2009,R,Presbyterian,16
111,2009,Total,Presbyterian,31
111,2009,D,Protestant- other,12
111,2009,R,Protestant- other,26
111,2009,Total,Protestant- other,38
111,2009,D,Total,258
111,2009,R,Total,181
111,2009,Total,Total,439
112,2011,D,All other,18
112,2011,R,All other,7
112,2011,Total,All other,25
112,2011,D,Baptist,24
112,2011,R,Baptist,36
112,2011,Total,Baptist,60
112,2011,D,Catholic,69
112,2011,R,Catholic,63
112,2011,Total,Catholic,132
112,2011,D,Episcopalian,13
112,2011,R,Episcopalian,21
112,2011,Total,Episcopalian,34
112,2011,D,Jewish,25
112,2011,R,Jewish,1
112,2011,Total,Jewish,26
112,2011,D,Lutheran,8
112,2011,R,Lutheran,13
112,2011,Total,Lutheran,21
112,2011,D,Methodist,12
112,2011,R,Methodist,25
112,2011,Total,Methodist,37
112,2011,D,Mormon,1
112,2011,R,Mormon,8
112,2011,Total,Mormon,9
112,2011,D,Presbyterian,11
112,2011,R,Presbyterian,20
112,2011,Total,Presbyterian,31
112,2011,D,Protestant- other,11
112,2011,R,Protestant- other,44
112,2011,Total,Protestant- other,55
112,2011,D,Total,193
112,2011,R,Total,240
112,2011,Total,Total,430
113,2013,D,All other,27
113,2013,R,All other,10
113,2013,Total,All other,37
113,2013,D,Baptist,25
113,2013,R,Baptist,43
113,2013,Total,Baptist,68
113,2013,D,Catholic,78
113,2013,R,Catholic,61
113,2013,Total,Catholic,139
113,2013,D,Episcopalian,15
113,2013,R,Episcopalian,19
113,2013,Total,Episcopalian,34
113,2013,D,Jewish,21
113,2013,R,Jewish,1
113,2013,Total,Jewish,22
113,2013,D,Lutheran,8
113,2013,R,Lutheran,10
113,2013,Total,Lutheran,18
113,2013,D,Methodist,10
113,2013,R,Methodist,25
113,2013,Total,Methodist,35
113,2013,D,Mormon,2
113,2013,R,Mormon,7
113,2013,Total,Mormon,9
113,2013,D,Presbyterian,8
113,2013,R,Presbyterian,20
113,2013,Total,Presbyterian,28
113,2013,D,Protestant- other,14
113,2013,R,Protestant- other,40
113,2013,Total,Protestant- other,54
113,2013,D,Total,208
113,2013,R,Total,236
113,2013,Total,Total,444
114,2015,Total,All other,19
114,2015,D,All other,15
114,2015,R,All other,4
114,2015,Total,Baptist,69
114,2015,D,Baptist,25
114,2015,R,Baptist,44
114,2015,Total,Catholic,139
114,2015,D,Catholic,68
114,2015,R,Catholic,71
114,2015,Total,Episcopalian,36
114,2015,D,Episcopalian,14
114,2015,R,Episcopalian,22
114,2015,Total,Jewish,19
114,2015,D,Jewish,18
114,2015,R,Jewish,1
114,2015,Total,Lutheran,20
114,2015,D,Lutheran,10
114,2015,R,Lutheran,10
114,2015,Total,Methodist,32
114,2015,D,Methodist,10
114,2015,R,Methodist,22
114,2015,Total,Mormon,9
114,2015,D,Mormon,0
114,2015,R,Mormon,9
114,2015,Total,Presbyterian,22
114,2015,D,Presbyterian,4
114,2015,R,Presbyterian,18
114,2015,Total,Protestant- other,70
114,2015,D,Protestant- other,24
114,2015,R,Protestant- other,46
114,2015,D,Total,188
114,2015,R,Total,247
114,2015,Total,Total,435
115,2017,D,All other,16
115,2017,R,All other,5
115,2017,Total,All other,21
115,2017,D,Baptist,25
115,2017,R,Baptist,37
115,2017,Total,Baptist,62
115,2017,D,Catholic,74
115,2017,R,Catholic,71
115,2017,Total,Catholic,145
115,2017,Total,D,194
115,2017,D,Episcopalian,12
115,2017,R,Episcopalian,20
115,2017,Total,Episcopalian,32
115,2017,D,Jewish,21
115,2017,R,Jewish,2
115,2017,Total,Jewish,23
115,2017,D,Lutheran,8
115,2017,R,Lutheran,12
115,2017,Total,Lutheran,20
115,2017,D,Methodist,12
115,2017,R,Methodist,23
115,2017,Total,Methodist,35
115,2017,D,Mormon,0
115,2017,R,Mormon,7
115,2017,Total,Mormon,7
115,2017,D,Presbyterian,4
115,2017,R,Presbyterian,20
115,2017,Total,Presbyterian,24
115,2017,D,Protestant- other,22
115,2017,R,Protestant- other,44
115,2017,Total,Protestant- other,66
115,2017,Total,R,241
115,2017,Total,Total,435
116,2019,D,All other,23
116,2019,R,All other,2
116,2019,Total,All other,25
116,2019,D,Baptist,26
116,2019,R,Baptist,35
116,2019,Total,Baptist,61
116,2019,D,Catholic,87
116,2019,R,Catholic,53
116,2019,Total,Catholic,140
116,2019,Total,D,235
116,2019,D,Episcopalian,12
116,2019,R,Episcopalian,13
116,2019,Total,Episcopalian,25
116,2019,D,Jewish,25
116,2019,R,Jewish,2
116,2019,Total,Jewish,27
116,2019,D,Lutheran,9
116,2019,R,Lutheran,9
116,2019,Total,Lutheran,18
116,2019,D,Methodist,15
116,2019,R,Methodist,20
116,2019,Total,Methodist,35
116,2019,D,Mormon,1
116,2019,R,Mormon,5
116,2019,Total,Mormon,6
116,2019,D,Presbyterian,5
116,2019,R,Presbyterian,11
116,2019,Total,Presbyterian,16
116,2019,D,Protestant- other,32
116,2019,R,Protestant- other,49
116,2019,Total,Protestant- other,81
116,2019,Total,R,199
116,2019,Total,Total,434
