Record Date,Security Type Description,Security Class Description,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2002-06-30","Nonmarketable","Government Account Series","44420.00","2646953.00","2691373.00","13","2002","3","2002","2","06","30"
"2002-06-30","Marketable","Notes","1474296.00","26.00","1474322.00","2","2002","3","2002","2","06","30"
"2002-06-30","Nonmarketable","Foreign Series","13319.00","0.00","13319.00","9","2002","3","2002","2","06","30"
"2002-06-30","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","3","2002","2","06","30"
"2002-06-30","Total Marketable","_","3036922.00","15369.00","3052291.00","7","2002","3","2002","2","06","30"
"2002-06-30","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","3","2002","2","06","30"
"2002-06-30","Nonmarketable","Other","3973.00","0.00","3973.00","14","2002","3","2002","2","06","30"
"2002-06-30","Total Public Debt Outstanding","_","3464147.00","2662321.00","6126469.00","17","2002","3","2002","2","06","30"
"2002-06-30","Nonmarketable","State and Local Government Series","142746.00","0.00","142746.00","11","2002","3","2002","2","06","30"
"2002-06-30","Marketable","Inflation-Indexed Bonds","45050.00","0.00","45050.00","5","2002","3","2002","2","06","30"
"2002-06-30","Marketable","Inflation-Indexed Notes","102432.00","0.00","102432.00","4","2002","3","2002","2","06","30"
"2002-07-31","Marketable","Bonds","592702.00","310.00","593012.00","3","2002","4","2002","3","07","31"
"2002-07-31","Total Public Debt Outstanding","_","3500452.00","2659289.00","6159741.00","17","2002","4","2002","3","07","31"
"2002-07-31","Total Nonmarketable","_","419927.00","2643922.00","3063849.00","15","2002","4","2002","3","07","31"
"2002-07-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","4","2002","3","07","31"
"2002-07-31","Marketable","Inflation-Indexed Bonds","45059.00","0.00","45059.00","5","2002","4","2002","3","07","31"
"2002-07-31","Nonmarketable","Government Account Series","45242.00","2643922.00","2689163.00","13","2002","4","2002","3","07","31"
"2002-07-31","Nonmarketable","Other","3973.00","0.00","3973.00","14","2002","4","2002","3","07","31"
"2002-07-31","Nonmarketable","State and Local Government Series","134840.00","0.00","134840.00","11","2002","4","2002","3","07","31"
"2002-07-31","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","4","2002","3","07","31"
"2002-07-31","Marketable","Notes","1486932.00","26.00","1486958.00","2","2002","4","2002","3","07","31"
"2002-07-31","Marketable","Inflation-Indexed Notes","93586.00","0.00","93586.00","4","2002","4","2002","3","07","31"
"2002-07-31","Total Marketable","_","3080525.00","15367.00","3095892.00","7","2002","4","2002","3","07","31"
"2002-07-31","Marketable","Bills","862246.00","31.00","862277.00","1","2002","4","2002","3","07","31"
"2002-07-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","4","2002","3","07","31"
"2002-07-31","Nonmarketable","United States Savings Securities","192958.00","0.00","192958.00","12","2002","4","2002","3","07","31"
"2002-07-31","Nonmarketable","Foreign Series","12919.00","0.00","12919.00","9","2002","4","2002","3","07","31"
"2002-08-31","Total Marketable","_","3130243.00","15367.00","3145611.00","7","2002","4","2002","3","08","31"
"2002-08-31","Nonmarketable","United States Savings Securities","193092.00","0.00","193092.00","12","2002","4","2002","3","08","31"
"2002-08-31","Marketable","Bills","890698.00","31.00","890730.00","1","2002","4","2002","3","08","31"
"2002-08-31","Nonmarketable","Government Account Series","46624.00","2636838.00","2683462.00","13","2002","4","2002","3","08","31"
"2002-08-31","Nonmarketable","Foreign Series","12719.00","0.00","12719.00","9","2002","4","2002","3","08","31"
"2002-08-31","Nonmarketable","Other","3973.00","0.00","3973.00","14","2002","4","2002","3","08","31"
"2002-08-31","Marketable","Bonds","592699.00","310.00","593009.00","3","2002","4","2002","3","08","31"
"2002-08-31","Total Nonmarketable","_","428033.00","2636838.00","3064871.00","15","2002","4","2002","3","08","31"
"2002-08-31","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","4","2002","3","08","31"
"2002-08-31","Marketable","Notes","1508127.00","26.00","1508153.00","2","2002","4","2002","3","08","31"
"2002-08-31","Marketable","Inflation-Indexed Bonds","45083.00","0.00","45083.00","5","2002","4","2002","3","08","31"
"2002-08-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","4","2002","3","08","31"
"2002-08-31","Marketable","Inflation-Indexed Notes","93636.00","0.00","93636.00","4","2002","4","2002","3","08","31"
"2002-08-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","4","2002","3","08","31"
"2002-08-31","Nonmarketable","State and Local Government Series","141631.00","0.00","141631.00","11","2002","4","2002","3","08","31"
"2002-08-31","Total Public Debt Outstanding","_","3558277.00","2652205.00","6210482.00","17","2002","4","2002","3","08","31"
"2002-09-30","Marketable","Bills","868220.00","30.00","868250.00","1","2002","4","2002","3","09","30"
"2002-09-30","Total Marketable","_","3121357.00","15365.00","3136722.00","7","2002","4","2002","3","09","30"
"2002-09-30","Marketable","Inflation-Indexed Notes","93738.00","0.00","93738.00","4","2002","4","2002","3","09","30"
"2002-09-30","Marketable","Bonds","592695.00","310.00","593005.00","3","2002","4","2002","3","09","30"
"2002-09-30","Total Nonmarketable","_","431823.00","2659691.00","3091514.00","15","2002","4","2002","3","09","30"
"2002-09-30","Total Public Debt Outstanding","_","3553180.00","2675056.00","6228236.00","17","2002","4","2002","3","09","30"
"2002-09-30","Marketable","Notes","1521572.00","25.00","1521597.00","2","2002","4","2002","3","09","30"
"2002-09-30","Nonmarketable","Government Account Series","47605.00","2659691.00","2707295.00","13","2002","4","2002","3","09","30"
"2002-09-30","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","4","2002","3","09","30"
"2002-09-30","Nonmarketable","State and Local Government Series","144286.00","0.00","144286.00","11","2002","4","2002","3","09","30"
"2002-09-30","Nonmarketable","Foreign Series","12519.00","0.00","12519.00","9","2002","4","2002","3","09","30"
"2002-09-30","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","4","2002","3","09","30"
"2002-09-30","Nonmarketable","Other","4106.00","0.00","4106.00","14","2002","4","2002","3","09","30"
"2002-09-30","Nonmarketable","United States Savings Securities","193312.00","0.00","193312.00","12","2002","4","2002","3","09","30"
"2002-09-30","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","4","2002","3","09","30"
"2002-09-30","Marketable","Inflation-Indexed Bonds","45132.00","0.00","45132.00","5","2002","4","2002","3","09","30"
"2002-10-31","Marketable","Bonds","592689.00","310.00","592999.00","3","2003","1","2002","4","10","31"
"2002-10-31","Marketable","Inflation-Indexed Notes","101076.00","0.00","101076.00","4","2003","1","2002","4","10","31"
"2002-10-31","Total Marketable","_","3148300.00","363.00","3148663.00","6","2003","1","2002","4","10","31"
"2002-10-31","Nonmarketable","United States Savings Securities","193855.00","0.00","193855.00","11","2003","1","2002","4","10","31"
"2002-10-31","Total Public Debt Outstanding","_","3586524.00","2696004.00","6282528.00","16","2003","1","2002","4","10","31"
"2002-10-31","Nonmarketable","Other","4095.00","0.00","4095.00","13","2003","1","2002","4","10","31"
"2002-10-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","9","2003","1","2002","4","10","31"
"2002-10-31","Nonmarketable","Government Account Series","47986.00","2695641.00","2743628.00","12","2003","1","2002","4","10","31"
"2002-10-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","7","2003","1","2002","4","10","31"
"2002-10-31","Marketable","Notes","1527415.00","26.00","1527441.00","2","2003","1","2002","4","10","31"
"2002-10-31","Marketable","Inflation-Indexed Bonds","45280.00","0.00","45280.00","5","2003","1","2002","4","10","31"
"2002-10-31","Marketable","Bills","881840.00","27.00","881867.00","1","2003","1","2002","4","10","31"
"2002-10-31","Nonmarketable","State and Local Government Series","149573.00","0.00","149573.00","10","2003","1","2002","4","10","31"
"2002-10-31","Total Nonmarketable","_","438223.00","2695641.00","3133865.00","14","2003","1","2002","4","10","31"
"2002-10-31","Nonmarketable","Foreign Series","12719.00","0.00","12719.00","8","2003","1","2002","4","10","31"
"2002-11-30","Marketable","Notes","1568838.00","26.00","1568864.00","2","2003","1","2002","4","11","30"
"2002-11-30","Nonmarketable","State and Local Government Series","154090.00","0.00","154090.00","10","2003","1","2002","4","11","30"
"2002-11-30","Total Nonmarketable","_","444025.00","2693746.00","3137771.00","14","2003","1","2002","4","11","30"
"2002-11-30","Marketable","Bonds","588465.00","310.00","588775.00","3","2003","1","2002","4","11","30"
"2002-11-30","Nonmarketable","United States Savings Securities","194443.00","0.00","194443.00","11","2003","1","2002","4","11","30"
"2002-11-30","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","9","2003","1","2002","4","11","30"
"2002-11-30","Marketable","Bills","901417.00","26.00","901444.00","1","2003","1","2002","4","11","30"
"2002-11-30","Marketable","Inflation-Indexed Notes","101250.00","0.00","101250.00","4","2003","1","2002","4","11","30"
"2002-11-30","Nonmarketable","Other","4094.00","0.00","4094.00","13","2003","1","2002","4","11","30"
"2002-11-30","Total Marketable","_","3205328.00","362.00","3205690.00","6","2003","1","2002","4","11","30"
"2002-11-30","Nonmarketable","Foreign Series","12519.00","0.00","12519.00","8","2003","1","2002","4","11","30"
"2002-11-30","Marketable","Inflation-Indexed Bonds","45357.00","0.00","45357.00","5","2003","1","2002","4","11","30"
"2002-11-30","Nonmarketable","Government Account Series","48883.00","2693746.00","2742628.00","12","2003","1","2002","4","11","30"
"2002-11-30","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","7","2003","1","2002","4","11","30"
"2002-11-30","Total Public Debt Outstanding","_","3649353.00","2694108.00","6343460.00","16","2003","1","2002","4","11","30"
"2002-12-31","Marketable","Bills","888741.00","24.00","888765.00","1","2003","1","2002","4","12","31"
"2002-12-31","Marketable","Inflation-Indexed Notes","101418.00","0.00","101418.00","4","2003","1","2002","4","12","31"
"2002-12-31","Nonmarketable","State and Local Government Series","153398.00","0.00","153398.00","10","2003","1","2002","4","12","31"
"2002-12-31","Marketable","Inflation-Indexed Bonds","45432.00","0.00","45432.00","5","2003","1","2002","4","12","31"
"2002-12-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","7","2003","1","2002","4","12","31"
"2002-12-31","Marketable","Bonds","588450.00","310.00","588760.00","3","2003","1","2002","4","12","31"
"2002-12-31","Total Nonmarketable","_","443038.00","2757408.00","3200446.00","14","2003","1","2002","4","12","31"
"2002-12-31","Total Public Debt Outstanding","_","3647940.00","2757768.00","6405707.00","16","2003","1","2002","4","12","31"
"2002-12-31","Nonmarketable","United States Savings Securities","194933.00","0.00","194933.00","11","2003","1","2002","4","12","31"
"2002-12-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","9","2003","1","2002","4","12","31"
"2002-12-31","Nonmarketable","Foreign Series","11207.00","0.00","11207.00","8","2003","1","2002","4","12","31"
"2002-12-31","Nonmarketable","Other","3966.00","0.00","3966.00","13","2003","1","2002","4","12","31"
"2002-12-31","Nonmarketable","Government Account Series","49538.00","2757408.00","2806946.00","12","2003","1","2002","4","12","31"
"2002-12-31","Total Marketable","_","3204902.00","360.00","3205262.00","6","2003","1","2002","4","12","31"
"2002-12-31","Marketable","Notes","1580860.00","26.00","1580886.00","2","2003","1","2002","4","12","31"
"2003-01-31","Nonmarketable","United States Savings Securities","195813.00","0.00","195813.00","11","2003","2","2003","1","01","31"
"2003-01-31","Total Public Debt Outstanding","_","3636978.00","2764399.00","6401377.00","16","2003","2","2003","1","01","31"
"2003-01-31","Total Nonmarketable","_","440160.00","2764037.00","3204197.00","14","2003","2","2003","1","01","31"
"2003-01-31","Nonmarketable","Government Account Series","50604.00","2764037.00","2814641.00","12","2003","2","2003","1","01","31"
"2003-01-31","Total Marketable","_","3196818.00","362.00","3197180.00","6","2003","2","2003","1","01","31"
"2003-01-31","Marketable","Notes","1586144.00","26.00","1586170.00","2","2003","2","2003","1","01","31"
"2003-01-31","Marketable","Inflation-Indexed Notes","107478.00","0.00","107478.00","4","2003","2","2003","1","01","31"
"2003-01-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","9","2003","2","2003","1","01","31"
"2003-01-31","Nonmarketable","Foreign Series","11207.00","0.00","11207.00","8","2003","2","2003","1","01","31"
"2003-01-31","Marketable","Inflation-Indexed Bonds","45435.00","0.00","45435.00","5","2003","2","2003","1","01","31"
"2003-01-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","7","2003","2","2003","1","01","31"
"2003-01-31","Nonmarketable","State and Local Government Series","148574.00","0.00","148574.00","10","2003","2","2003","1","01","31"
"2003-01-31","Nonmarketable","Other","3965.00","0.00","3965.00","13","2003","2","2003","1","01","31"
"2003-01-31","Marketable","Bonds","588446.00","310.00","588755.00","3","2003","2","2003","1","01","31"
"2003-01-31","Marketable","Bills","869317.00","26.00","869343.00","1","2003","2","2003","1","01","31"
"2003-02-28","Marketable","Notes","1616553.00","19.00","1616572.00","2","2003","2","2003","1","02","28"
"2003-02-28","Marketable","Bonds","585446.00","310.00","585756.00","3","2003","2","2003","1","02","28"
"2003-02-28","Total Public Debt Outstanding","_","3683888.00","2761902.00","6445790.00","16","2003","2","2003","1","02","28"
"2003-02-28","Nonmarketable","Foreign Series","11607.00","0.00","11607.00","8","2003","2","2003","1","02","28"
"2003-02-28","Nonmarketable","State and Local Government Series","149561.00","0.00","149561.00","10","2003","2","2003","1","02","28"
"2003-02-28","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","9","2003","2","2003","1","02","28"
"2003-02-28","Total Marketable","_","3273353.00","357.00","3273710.00","6","2003","2","2003","1","02","28"
"2003-02-28","Marketable","Bills","918767.00","28.00","918795.00","1","2003","2","2003","1","02","28"
"2003-02-28","Marketable","Inflation-Indexed Notes","107249.00","0.00","107249.00","4","2003","2","2003","1","02","28"
"2003-02-28","Marketable","Inflation-Indexed Bonds","45338.00","0.00","45338.00","5","2003","2","2003","1","02","28"
"2003-02-28","Nonmarketable","United States Savings Securities","196424.00","0.00","196424.00","11","2003","2","2003","1","02","28"
"2003-02-28","Total Nonmarketable","_","410535.00","2761545.00","3172080.00","14","2003","2","2003","1","02","28"
"2003-02-28","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","7","2003","2","2003","1","02","28"
"2003-02-28","Nonmarketable","Government Account Series","18982.00","2761545.00","2780528.00","12","2003","2","2003","1","02","28"
"2003-02-28","Nonmarketable","Other","3964.00","0.00","3964.00","13","2003","2","2003","1","02","28"
"2003-03-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2003","2","2003","1","03","31"
"2003-03-31","Nonmarketable","Foreign Series","12207.00","0.00","12207.00","9","2003","2","2003","1","03","31"
"2003-03-31","Total Marketable","_","3316603.00","15360.00","3331963.00","7","2003","2","2003","1","03","31"
"2003-03-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2003","2","2003","1","03","31"
"2003-03-31","Marketable","Inflation-Indexed Notes","107699.00","0.00","107699.00","4","2003","2","2003","1","03","31"
"2003-03-31","Marketable","Inflation-Indexed Bonds","45529.00","0.00","45529.00","5","2003","2","2003","1","03","31"
"2003-03-31","Nonmarketable","Government Account Series","2720.00","2734105.00","2736824.00","13","2003","2","2003","1","03","31"
"2003-03-31","Nonmarketable","United States Savings Securities","196930.00","0.00","196930.00","12","2003","2","2003","1","03","31"
"2003-03-31","Nonmarketable","State and Local Government Series","148826.00","0.00","148826.00","11","2003","2","2003","1","03","31"
"2003-03-31","Marketable","Notes","1622917.00","19.00","1622936.00","2","2003","2","2003","1","03","31"
"2003-03-31","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2003","2","2003","1","03","31"
"2003-03-31","Total Public Debt Outstanding","_","3711312.00","2749464.00","6460776.00","17","2003","2","2003","1","03","31"
"2003-03-31","Marketable","Bonds","585440.00","310.00","585750.00","3","2003","2","2003","1","03","31"
"2003-03-31","Total Nonmarketable","_","394709.00","2734105.00","3128813.00","15","2003","2","2003","1","03","31"
"2003-03-31","Nonmarketable","Other","4030.00","0.00","4030.00","14","2003","2","2003","1","03","31"
"2003-03-31","Marketable","Bills","955018.00","31.00","955049.00","1","2003","2","2003","1","03","31"
"2003-04-30","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2003","3","2003","2","04","30"
"2003-04-30","Nonmarketable","Foreign Series","12207.00","0.00","12207.00","9","2003","3","2003","2","04","30"
"2003-04-30","Marketable","Notes","1631283.00","34.00","1631317.00","2","2003","3","2003","2","04","30"
"2003-04-30","Nonmarketable","State and Local Government Series","145741.00","0.00","145741.00","11","2003","3","2003","2","04","30"
"2003-04-30","Total Public Debt Outstanding","_","3702845.00","2757536.00","6460381.00","17","2003","3","2003","2","04","30"
"2003-04-30","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2003","3","2003","2","04","30"
"2003-04-30","Marketable","Bonds","585436.00","310.00","585746.00","3","2003","3","2003","2","04","30"
"2003-04-30","Total Nonmarketable","_","401866.00","2742160.00","3144026.00","15","2003","3","2003","2","04","30"
"2003-04-30","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2003","3","2003","2","04","30"
"2003-04-30","Nonmarketable","Other","4121.00","0.00","4121.00","14","2003","3","2003","2","04","30"
"2003-04-30","Marketable","Inflation-Indexed Notes","108517.00","0.00","108517.00","4","2003","3","2003","2","04","30"
"2003-04-30","Marketable","Inflation-Indexed Bonds","45874.00","0.00","45874.00","5","2003","3","2003","2","04","30"
"2003-04-30","Nonmarketable","United States Savings Securities","197721.00","0.00","197721.00","12","2003","3","2003","2","04","30"
"2003-04-30","Total Marketable","_","3300979.00","15376.00","3316355.00","7","2003","3","2003","2","04","30"
"2003-04-30","Marketable","Bills","929869.00","32.00","929901.00","1","2003","3","2003","2","04","30"
"2003-04-30","Nonmarketable","Government Account Series","12079.00","2742160.00","2754240.00","13","2003","3","2003","2","04","30"
"2003-05-31","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2003","3","2003","2","05","31"
"2003-05-31","Total Marketable","_","3338541.00","15383.00","3353925.00","7","2003","3","2003","2","05","31"
"2003-05-31","Nonmarketable","Other","4120.00","0.00","4120.00","14","2003","3","2003","2","05","31"
"2003-05-31","Marketable","Bills","910751.00","34.00","910786.00","1","2003","3","2003","2","05","31"
"2003-05-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2003","3","2003","2","05","31"
