Year,Country,Central government personal income tax rates and thresholds,Value,Flags
"2006","Slovak Republic","Amount",3014,a
"2007","Slovak Republic","Amount",3174,a
"2008","Slovak Republic","Amount",3269,a
"2009","Slovak Republic","Amount",4026,a
"2010","Slovak Republic","Amount",4026,a
"2011","Slovak Republic","Amount",3559,a
"2012","Slovak Republic","Amount",3644.74,a
"2013","Slovak Republic","Amount",3735.94,a
"2000","Spain","Amount",3306,a
"2001","Spain","Amount",3306,a
"2002","Spain","Amount",3305.57,a
"2003","Spain","Amount",3400,a
"2004","Spain","Amount",3400,a
"2005","Spain","Amount",3400,a
"2006","Spain","Amount",3400,a
"2007","Spain","Amount",5050,a
"2008","Spain","Amount",5151,a
"2009","Spain","Amount",5151,a
"2010","Spain","Amount",5151,a
"2011","Spain","Amount",5151,a
"2012","Spain","Amount",5151,a
"2013","Spain","Amount",5151,a
"2000","Sweden","Amount",8700,a
"2001","Sweden","Amount",10000,a
"2002","Sweden","Amount",11200,a
"2003","Sweden","Amount",11400,a
"2004","Sweden","Amount",11600,a
"2005","Sweden","Amount",11600,a
"2006","Sweden","Amount",11700,a
"2007","Sweden","Amount",11900,a
"2008","Sweden","Amount",12100,a
"2009","Sweden","Amount",12600,a
"2010","Sweden","Amount",12500,a
"2011","Sweden","Amount",12600,a
"2012","Sweden","Amount",12900,a
"2013","Sweden","Amount",13100,a
"2000","Turkey","Amount",225,a
"2001","Turkey","Amount",262.8,a
"2002","Turkey","Amount",360,a
"2003","Turkey","Amount",540,a
"2000","United Kingdom","Amount",4385,a
"2001","United Kingdom","Amount",4535,a
"2002","United Kingdom","Amount",4615,a
"2003","United Kingdom","Amount",4615,a
"2004","United Kingdom","Amount",4745,a
"2005","United Kingdom","Amount",4895,a
"2006","United Kingdom","Amount",5035,a
"2007","United Kingdom","Amount",5225,a
"2008","United Kingdom","Amount",6035,a
"2009","United Kingdom","Amount",6475,a
"2010","United Kingdom","Amount",6475,b
"2011","United Kingdom","Amount",7475,b
"2012","United Kingdom","Amount",8105,b
"2013","United Kingdom","Amount",9440,b
"2000","United States","Amount",4400,a
"2001","United States","Amount",4550,a
"2002","United States","Amount",4700,a
"2003","United States","Amount",4750,a
"2004","United States","Amount",4850,a
"2005","United States","Amount",5000,a
"2006","United States","Amount",5150,a
"2007","United States","Amount",5350,a
"2008","United States","Amount",5450,a
"2009","United States","Amount",5700,a
"2010","United States","Amount",5700,a
"2011","United States","Amount",5800,a
"2012","United States","Amount",5950,a
"2013","United States","Amount",6100,a
"2000","Chile","Amount",3312000,a
"2001","Chile","Amount",3422880,a
"2002","Chile","Amount",4761018,a
"2003","Chile","Amount",4817718,a
"2004","Chile","Amount",4909896,a
"2005","Chile","Amount",5114502,a
"2006","Chile","Amount",5217372,a
"2007","Chile","Amount",5543964,a
"2008","Chile","Amount",6099624,a
"2009","Chile","Amount",5971806,a
"2010","Chile","Amount",6092010,a
"2011","Chile","Amount",6321402,a
"2012","Chile","Amount",6513372,a
"2013","Chile","Amount",6513372,a
"2000","Estonia","Amount",614,a
"2001","Estonia","Amount",767,a
"2002","Estonia","Amount",767,a
"2003","Estonia","Amount",767,a
"2004","Estonia","Amount",1074,a
"2005","Estonia","Amount",1304,a
"2006","Estonia","Amount",1534,a
"2007","Estonia","Amount",1534,a
"2008","Estonia","Amount",1728,a
"2009","Estonia","Amount",1728,a
"2010","Estonia","Amount",1728,a
"2011","Estonia","Amount",1728,a
"2012","Estonia","Amount",1728,a
"2013","Estonia","Amount",1728,a
"2000","Slovenia","Amount",1056,a
"2001","Slovenia","Amount",1182,a
"2002","Slovenia","Amount",1297,a
"2003","Slovenia","Amount",1395,a
"2004","Slovenia","Amount",1474,a
"2005","Slovenia","Amount",2355,a
"2006","Slovenia","Amount",2522,a
"2007","Slovenia","Amount",2800,a
"2008","Slovenia","Amount",4959.6,a
"2009","Slovenia","Amount",5113.35,c
"2010","Slovenia","Amount",6120,c
"2011","Slovenia","Amount",6205.68,c
"2012","Slovenia","Amount",6373.45,c
"2013","Slovenia","Amount",6519.82,c
"2000","Austria","Amount",887,e
"2001","Austria","Amount",887,e
"2002","Austria","Amount",887,e
"2003","Austria","Amount",887,e
"2004","Austria","Amount",1264,e
"2000","Canada","Amount",1212.27,d
"2001","Canada","Amount",1186,d
"2002","Canada","Amount",1221,d
"2003","Canada","Amount",1241,d
"2004","Canada","Amount",1282,d
"2005","Canada","Amount",1297.2,d
"2006","Canada","Amount",1347.95,d
"2007","Canada","Amount",1440,d
"2008","Canada","Amount",1440,d
"2009","Canada","Amount",1548,d
"2010","Canada","Amount",1557,d
"2011","Canada","Amount",1579.05,d
"2012","Canada","Amount",1623.3,d
"2013","Canada","Amount",1623.3,d
"2006","Czech Republic","Amount",7200,d
"2007","Czech Republic","Amount",7200,d
"2008","Czech Republic","Amount",24840,d
"2009","Czech Republic","Amount",24840,d
"2010","Czech Republic","Amount",24840,d
"2011","Czech Republic","Amount",23640,d
"2012","Czech Republic","Amount",24840,d
"2013","Czech Republic","Amount",24840,d
"2001","Denmark","Amount",2338,d
"2002","Denmark","Amount",2088,d
"2003","Denmark","Amount",1958,d
"2004","Denmark","Amount",2024,d
"2005","Denmark","Amount",2060,d
"2006","Denmark","Amount",2110,d
"2007","Denmark","Amount",2165,d
"2008","Denmark","Amount",2247,d
"2009","Denmark","Amount",2162,d
"2010","Denmark","Amount",1574,d
"2011","Denmark","Amount",1562,d
"2012","Denmark","Amount",1990.56,d
"2013","Denmark","Amount",2448.6,d
"2000","Iceland","Amount",292326,d
"2001","Iceland","Amount",302940,d
"2002","Iceland","Amount",312024,d
"2003","Iceland","Amount",321900,d
"2004","Iceland","Amount",329948,d
"2005","Iceland","Amount",339846,d
"2006","Iceland","Amount",348343,d
"2007","Iceland","Amount",385800,d
"2008","Iceland","Amount",408409,d
"2009","Iceland","Amount",506466,d
"2010","Iceland","Amount",530466,d
"2011","Iceland","Amount",530466,d
"2012","Iceland","Amount",558385,d
"2013","Iceland","Amount",581820,d
"2000","Ireland","Amount",1313,d
"2001","Ireland","Amount",1396,d
"2002","Ireland","Amount",1520,d
"2003","Ireland","Amount",1520,d
"2004","Ireland","Amount",1520,d
"2005","Ireland","Amount",1580,d
"2006","Ireland","Amount",1630,d
"2007","Ireland","Amount",1760,d
"2008","Ireland","Amount",1830,d
"2009","Ireland","Amount",1830,d
"2010","Ireland","Amount",1830,d
"2011","Ireland","Amount",1650,d
"2012","Ireland","Amount",1650,d
"2013","Ireland","Amount",1650,d
"2000","Italy","Amount",1146,e
"2001","Italy","Amount",1147,e
"2002","Italy","Amount",1146.53,e
"2007","Italy","Amount",1840,d
"2008","Italy","Amount",1840,d
"2009","Italy","Amount",1840,d
"2010","Italy","Amount",1840,d
"2011","Italy","Amount",1840,d
"2012","Italy","Amount",1840,d
"2013","Italy","Amount",1840,d
"2009","Luxembourg","Amount",300,f
"2010","Luxembourg","Amount",300,f
"2011","Luxembourg","Amount",300,f
"2012","Luxembourg","Amount",300,f
"2013","Luxembourg","Amount",300,f
"2000","Mexico","Amount",3966.21,g
"2001","Mexico","Amount",4228.14,g
"2002","Mexico","Amount",4276.2,g
"2003","Mexico","Amount",4324.2,g
"2004","Mexico","Amount",4324.2,g
"2005","Mexico","Amount",4884.24,g
"2006","Mexico","Amount",4884.24,g
"2007","Mexico","Amount",4884.24,g
"2008","Mexico","Amount",4884.24,g
"2009","Mexico","Amount",4884.24,g
"2010","Mexico","Amount",4884.24,g
"2011","Mexico","Amount",4884.24,g
"2012","Mexico","Amount",4884.24,g
"2013","Mexico","Amount",4884.24,g
"2001","Netherlands","Amount",1576,d
"2002","Netherlands","Amount",1646,d
"2003","Netherlands","Amount",1766,d
"2004","Netherlands","Amount",1824,d
"2005","Netherlands","Amount",1894,d
"2006","Netherlands","Amount",1990,d
"2007","Netherlands","Amount",2043,d
"2008","Netherlands","Amount",2074,d
"2009","Netherlands","Amount",2007,d
"2010","Netherlands","Amount",1987,d
"2011","Netherlands","Amount",1987,d
"2012","Netherlands","Amount",2033,d
"2013","Netherlands","Amount",2001,d
"2000","Poland","Amount",436.2,d
"2001","Poland","Amount",493.32,d
"2002","Poland","Amount",518.16,d
"2003","Poland","Amount",530.08,d
"2004","Poland","Amount",530.08,d
"2005","Poland","Amount",530.08,d
"2006","Poland","Amount",530.08,d
"2007","Poland","Amount",572.54,d
"2008","Poland","Amount",586.85,d
"2009","Poland","Amount",556.02,d
"2010","Poland","Amount",556.02,d
"2011","Poland","Amount",556.02,d
"2012","Poland","Amount",556.02,d
"2013","Poland","Amount",556.02,d
"2000","Portugal","Amount",201.51,d
"2001","Portugal","Amount",200.52,d
"2002","Portugal","Amount",208.81,d
"2003","Portugal","Amount",213.96,d
"2004","Portugal","Amount",219.36,d
"2005","Portugal","Amount",224.82,d
"2006","Portugal","Amount",231.54,d
"2007","Portugal","Amount",221.65,d
"2008","Portugal","Amount",234.3,d
"2009","Portugal","Amount",247.5,d
"2010","Portugal","Amount",261.25,d
"2011","Portugal","Amount",261.25,d
"2012","Portugal","Amount",261.25,d
"2013","Portugal","Amount",213.75,d
"2009","Slovak Republic","Amount",181.03,g
"2010","Slovak Republic","Amount",157.04,g
"2011","Slovak Republic","Amount",50.34,g
"2012","Slovak Republic","Amount",46.4,g
"2013","Slovak Republic","Amount",42.98,g
"2008","Spain","Amount",400,e
"2009","Spain","Amount",400,e
"2010","Spain","Amount",400,e
"2011","Spain","Amount",400,e
"2012","Spain","Amount",400,e
"2013","Spain","Amount",400,e
"2000","United States","Amount",352.665,f
"2001","United States","Amount",364.14,f
"2002","United States","Amount",375.615,f
"2003","United States","Amount",381.735,f
"2004","United States","Amount",390.15,f
"2005","United States","Amount",399.33,f
"2006","United States","Amount",411.57,f
"2007","United States","Amount",427.635,f
"2008","United States","Amount",437.58,f
"2009","United States","Amount",456.705,f
"2010","United States","Amount",457.47,f
"2011","United States","Amount",464.355,f
"2012","United States","Amount",475.065,f
"2013","United States","Amount",487.305,f
"2000","Israel","Amount",4509,d
"2001","Israel","Amount",4536,d
"2002","Israel","Amount",4590,d
"2003","Israel","Amount",4887,d
"2004","Israel","Amount",4806,d
"2005","Israel","Amount",4806,d
"2006","Israel","Amount",4806,d
"2007","Israel","Amount",4806,d
"2008","Israel","Amount",5103,d
"2009","Israel","Amount",5319,d
"2010","Israel","Amount",5535,d
"2011","Israel","Amount",5643,d
"2012","Israel","Amount",5805,d
"2013","Israel","Amount",5805,d
"2002","Australia","Rate",1.5,h
"2003","Australia","Rate",1.5,h
"2004","Australia","Rate",1.5,h
"2005","Australia","Rate",1.5,h
"2006","Australia","Rate",1.5,h
"2007","Australia","Rate",1.5,h
"2008","Australia","Rate",1.5,h
"2009","Australia","Rate",1.5,h
"2010","Australia","Rate",1.5,h
"2011","Australia","Rate",1.5,h
"2012","Australia","Rate",1.5,h
"2013","Australia","Rate",1.5,h
"2000","Belgium","Rate",3,h
"2001","Belgium","Rate",2,h
"2002","Belgium","Rate",1,h
"2000","Canada","Rate",5,
"2000","France","Rate",8,i
"2001","France","Rate",8,i
"2002","France","Rate",8,i
"2003","France","Rate",8,i
"2004","France","Rate",8,i
"2005","France","Rate",8,i
"2006","France","Rate",8,i
"2007","France","Rate",8,i
"2008","France","Rate",8,i
"2009","France","Rate",8,i
"2010","France","Rate",8,i
"2011","France","Rate",8,i
"2012","France","Rate",8,i
"2013","France","Rate",8,i
"2003","Germany","Rate",5.5,j
"2004","Germany","Rate",5.5,j
"2005","Germany","Rate",5.5,j
"2006","Germany","Rate",5.5,j
"2007","Germany","Rate",5.5,j
"2008","Germany","Rate",5.5,j
"2009","Germany","Rate",5.5,j
"2010","Germany","Rate",5.5,j
"2011","Germany","Rate",5.5,j
"2012","Germany","Rate",5.5,j
"2013","Germany","Rate",5.5,j
"2011","Greece","Rate",4,h
"2012","Greece","Rate",4,h
"2013","Greece","Rate",4,h
"2009","Ireland","Rate",5,i
"2010","Ireland","Rate",6,i
"2011","Ireland","Rate",7,i
"2012","Ireland","Rate",7,i
"2013","Ireland","Rate",7,i
"2001","Italy","Rate",1.4,h
"2011","Italy","Rate",3,i
"2012","Italy","Rate",3,i
"2013","Italy","Rate",3,i
"2013","Japan","Rate",2.1,j
"2000","Luxembourg","Rate",2.5,j
"2001","Luxembourg","Rate",2.5,j
"2002","Luxembourg","Rate",2.5,j
"2003","Luxembourg","Rate",2.5,j
"2004","Luxembourg","Rate",2.5,j
"2005","Luxembourg","Rate",2.5,j
"2006","Luxembourg","Rate",2.5,j
"2007","Luxembourg","Rate",2.5,j
"2008","Luxembourg","Rate",2.5,j
"2009","Luxembourg","Rate",2.5,j
"2010","Luxembourg","Rate",2.5,j
"2011","Luxembourg","Rate",6,j
"2012","Luxembourg","Rate",6,j
"2013","Luxembourg","Rate",6,j
"2000","Turkey","Rate",0.6,i
"2001","Turkey","Rate",0.6,i
"2002","Turkey","Rate",0.6,i
"2003","Turkey","Rate",0.6,i
"2004","Turkey","Rate",0.6,i
"2005","Turkey","Rate",0.6,i
"2006","Turkey","Rate",0.6,i
"2007","Turkey","Rate",0.6,i
"2008","Turkey","Rate",0.6,i
"2009","Turkey","Rate",0.6,i
"2010","Turkey","Rate",0.66,j
"2011","Turkey","Rate",0.66,i
"2012","Turkey","Rate",0.66,i
"2013","Turkey","Rate",0.759,i
"2000","Australia","Marginal rate1",0,
"2001","Australia","Marginal rate1",0,
"2002","Australia","Marginal rate1",0,
"2003","Australia","Marginal rate1",0,
"2004","Australia","Marginal rate1",0,
"2005","Australia","Marginal rate1",0,
"2006","Australia","Marginal rate1",0,
"2007","Australia","Marginal rate1",0,
"2008","Australia","Marginal rate1",0,
"2009","Australia","Marginal rate1",0,
"2010","Australia","Marginal rate1",0,
"2011","Australia","Marginal rate1",0,
"2012","Australia","Marginal rate1",0,
"2013","Australia","Marginal rate1",0,
"2000","Austria","Marginal rate1",0,
"2001","Austria","Marginal rate1",0,
"2002","Austria","Marginal rate1",0,
"2003","Austria","Marginal rate1",0,
"2004","Austria","Marginal rate1",0,
"2005","Austria","Marginal rate1",0,
"2006","Austria","Marginal rate1",0,
"2007","Austria","Marginal rate1",0,
"2008","Austria","Marginal rate1",0,
"2009","Austria","Marginal rate1",0,
"2010","Austria","Marginal rate1",0,
"2011","Austria","Marginal rate1",0,
"2012","Austria","Marginal rate1",0,
"2013","Austria","Marginal rate1",0,
"2000","Belgium","Marginal rate1",25,
"2001","Belgium","Marginal rate1",25,
"2002","Belgium","Marginal rate1",25,
"2003","Belgium","Marginal rate1",25,
"2004","Belgium","Marginal rate1",25,
"2005","Belgium","Marginal rate1",25,
"2006","Belgium","Marginal rate1",25,
"2007","Belgium","Marginal rate1",25,
"2008","Belgium","Marginal rate1",25,
"2009","Belgium","Marginal rate1",25,
"2010","Belgium","Marginal rate1",25,
"2011","Belgium","Marginal rate1",25,
"2012","Belgium","Marginal rate1",25,
"2013","Belgium","Marginal rate1",25,
"2000","Canada","Marginal rate1",17,
"2001","Canada","Marginal rate1",16,
"2002","Canada","Marginal rate1",16,
"2003","Canada","Marginal rate1",16,
"2004","Canada","Marginal rate1",16,
"2005","Canada","Marginal rate1",15,
"2006","Canada","Marginal rate1",15.25,
"2007","Canada","Marginal rate1",15,
"2008","Canada","Marginal rate1",15,
"2009","Canada","Marginal rate1",15,
"2010","Canada","Marginal rate1",15,
"2011","Canada","Marginal rate1",15,
"2012","Canada","Marginal rate1",15,
"2013","Canada","Marginal rate1",15,
"2000","Czech Republic","Marginal rate1",15,
"2001","Czech Republic","Marginal rate1",15,
"2002","Czech Republic","Marginal rate1",15,
"2003","Czech Republic","Marginal rate1",15,
"2004","Czech Republic","Marginal rate1",15,
"2005","Czech Republic","Marginal rate1",15,
"2006","Czech Republic","Marginal rate1",12,
"2007","Czech Republic","Marginal rate1",12,
"2008","Czech Republic","Marginal rate1",15,
"2009","Czech Republic","Marginal rate1",15,
"2010","Czech Republic","Marginal rate1",15,
"2011","Czech Republic","Marginal rate1",15,
"2012","Czech Republic","Marginal rate1",15,
"2013","Czech Republic","Marginal rate1",15,
"2000","Denmark","Marginal rate1",7,
"2001","Denmark","Marginal rate1",6.25,
"2002","Denmark","Marginal rate1",5.5,
"2003","Denmark","Marginal rate1",5.5,
"2004","Denmark","Marginal rate1",5.5,
"2005","Denmark","Marginal rate1",5.48,
"2006","Denmark","Marginal rate1",5.48,
"2007","Denmark","Marginal rate1",5.48,
"2008","Denmark","Marginal rate1",5.48,
"2009","Denmark","Marginal rate1",5.04,
"2010","Denmark","Marginal rate1",3.67,
"2011","Denmark","Marginal rate1",3.64,
"2012","Denmark","Marginal rate1",4.65,
"2013","Denmark","Marginal rate1",5.83,
"2000","Finland","Marginal rate1",0,
"2001","Finland","Marginal rate1",0,
"2002","Finland","Marginal rate1",0,
"2003","Finland","Marginal rate1",0,
"2004","Finland","Marginal rate1",0,
"2005","Finland","Marginal rate1",0,
"2006","Finland","Marginal rate1",0,
"2007","Finland","Marginal rate1",0,
"2008","Finland","Marginal rate1",0,
"2009","Finland","Marginal rate1",0,
"2010","Finland","Marginal rate1",0,
"2011","Finland","Marginal rate1",0,
"2012","Finland","Marginal rate1",0,
"2013","Finland","Marginal rate1",0,
"2000","France","Marginal rate1",0,
"2001","France","Marginal rate1",0,
"2002","France","Marginal rate1",0,
"2003","France","Marginal rate1",0,
"2004","France","Marginal rate1",0,
"2005","France","Marginal rate1",0,
"2006","France","Marginal rate1",0,
"2007","France","Marginal rate1",0,
"2008","France","Marginal rate1",0,
"2009","France","Marginal rate1",0,
"2010","France","Marginal rate1",0,
"2011","France","Marginal rate1",0,
"2012","France","Marginal rate1",0,
"2013","France","Marginal rate1",0,
"2000","Germany","Marginal rate1",0,
"2001","Germany","Marginal rate1",0,
"2002","Germany","Marginal rate1",0,
"2003","Germany","Marginal rate1",0,
"2004","Germany","Marginal rate1",0,
"2005","Germany","Marginal rate1",0,
"2006","Germany","Marginal rate1",0,
"2007","Germany","Marginal rate1",0,
"2008","Germany","Marginal rate1",0,
"2009","Germany","Marginal rate1",0,
"2010","Germany","Marginal rate1",0,
"2011","Germany","Marginal rate1",0,
"2012","Germany","Marginal rate1",0,
"2013","Germany","Marginal rate1",0,
"2000","Greece","Marginal rate1",0,
"2001","Greece","Marginal rate1",0,
"2002","Greece","Marginal rate1",0,
"2003","Greece","Marginal rate1",0,
"2004","Greece","Marginal rate1",0,
"2005","Greece","Marginal rate1",0,
"2006","Greece","Marginal rate1",0,
"2007","Greece","Marginal rate1",0,
"2008","Greece","Marginal rate1",0,
"2009","Greece","Marginal rate1",0,
"2010","Greece","Marginal rate1",0,
"2011","Greece","Marginal rate1",0,
"2012","Greece","Marginal rate1",0,
"2013","Greece","Marginal rate1",0,
"2000","Hungary","Marginal rate1",20,
"2001","Hungary","Marginal rate1",20,
"2002","Hungary","Marginal rate1",20,
"2003","Hungary","Marginal rate1",20,
"2004","Hungary","Marginal rate1",18,
"2005","Hungary","Marginal rate1",18,
"2006","Hungary","Marginal rate1",18,
"2007","Hungary","Marginal rate1",18,
"2008","Hungary","Marginal rate1",18,
"2009","Hungary","Marginal rate1",18,
"2010","Hungary","Marginal rate1",17,
"2011","Hungary","Marginal rate1",16,
"2012","Hungary","Marginal rate1",16,
"2013","Hungary","Marginal rate1",16,
"2000","Iceland","Marginal rate1",26.41,
"2001","Iceland","Marginal rate1",26.08,
"2002","Iceland","Marginal rate1",25.75,
"2003","Iceland","Marginal rate1",25.75,
"2004","Iceland","Marginal rate1",25.75,
"2005","Iceland","Marginal rate1",24.75,
"2006","Iceland","Marginal rate1",23.75,
"2007","Iceland","Marginal rate1",22.75,
"2008","Iceland","Marginal rate1",22.75,
"2009","Iceland","Marginal rate1",24.1,
"2010","Iceland","Marginal rate1",24.1,
"2011","Iceland","Marginal rate1",22.9,
"2012","Iceland","Marginal rate1",22.9,
"2013","Iceland","Marginal rate1",22.9,
"2000","Ireland","Marginal rate1",22,
"2001","Ireland","Marginal rate1",20,
"2002","Ireland","Marginal rate1",20,
"2003","Ireland","Marginal rate1",20,
"2004","Ireland","Marginal rate1",20,
"2005","Ireland","Marginal rate1",20,
"2006","Ireland","Marginal rate1",20,
"2007","Ireland","Marginal rate1",20,
"2008","Ireland","Marginal rate1",20,
"2009","Ireland","Marginal rate1",20,
"2010","Ireland","Marginal rate1",20,
"2011","Ireland","Marginal rate1",20,
"2012","Ireland","Marginal rate1",20,
"2013","Ireland","Marginal rate1",20,
"2000","Italy","Marginal rate1",18.5,
"2001","Italy","Marginal rate1",18,
"2002","Italy","Marginal rate1",18,
"2003","Italy","Marginal rate1",23,
"2004","Italy","Marginal rate1",23,
"2005","Italy","Marginal rate1",23,
"2006","Italy","Marginal rate1",23,
"2007","Italy","Marginal rate1",23,
"2008","Italy","Marginal rate1",23,
"2009","Italy","Marginal rate1",23,
"2010","Italy","Marginal rate1",23,
"2011","Italy","Marginal rate1",23,
"2012","Italy","Marginal rate1",23,
"2013","Italy","Marginal rate1",23,
"2000","Japan","Marginal rate1",10,
"2001","Japan","Marginal rate1",10,
"2002","Japan","Marginal rate1",10,
"2003","Japan","Marginal rate1",10,
"2004","Japan","Marginal rate1",10,
"2005","Japan","Marginal rate1",10,
"2006","Japan","Marginal rate1",10,
"2007","Japan","Marginal rate1",5,
"2008","Japan","Marginal rate1",5,
"2009","Japan","Marginal rate1",5,
"2010","Japan","Marginal rate1",5,
"2011","Japan","Marginal rate1",5,
"2012","Japan","Marginal rate1",5,
"2013","Japan","Marginal rate1",5,
"2000","Korea","Marginal rate1",10,
"2001","Korea","Marginal rate1",10,
"2002","Korea","Marginal rate1",9,
"2003","Korea","Marginal rate1",9,
"2004","Korea","Marginal rate1",9,
"2005","Korea","Marginal rate1",8,
"2006","Korea","Marginal rate1",8,
"2007","Korea","Marginal rate1",8,
"2008","Korea","Marginal rate1",8,
"2009","Korea","Marginal rate1",6,
"2010","Korea","Marginal rate1",6,
"2011","Korea","Marginal rate1",6,
"2012","Korea","Marginal rate1",6,
"2013","Korea","Marginal rate1",6,
"2000","Luxembourg","Marginal rate1",0,
"2001","Luxembourg","Marginal rate1",0,
"2002","Luxembourg","Marginal rate1",0,
"2003","Luxembourg","Marginal rate1",0,
"2004","Luxembourg","Marginal rate1",0,
"2005","Luxembourg","Marginal rate1",0,
"2006","Luxembourg","Marginal rate1",0,
"2007","Luxembourg","Marginal rate1",0,
"2008","Luxembourg","Marginal rate1",0,
"2009","Luxembourg","Marginal rate1",0,
"2010","Luxembourg","Marginal rate1",0,
"2011","Luxembourg","Marginal rate1",0,
"2012","Luxembourg","Marginal rate1",0,
"2013","Luxembourg","Marginal rate1",0,
"2000","Mexico","Marginal rate1",3,
"2001","Mexico","Marginal rate1",3,
"2002","Mexico","Marginal rate1",3,
"2003","Mexico","Marginal rate1",3,
"2004","Mexico","Marginal rate1",3,
"2005","Mexico","Marginal rate1",3,
"2006","Mexico","Marginal rate1",3,
"2007","Mexico","Marginal rate1",3,
"2008","Mexico","Marginal rate1",1.92,
"2009","Mexico","Marginal rate1",1.92,
"2010","Mexico","Marginal rate1",1.92,
"2011","Mexico","Marginal rate1",1.92,
"2012","Mexico","Marginal rate1",1.92,
"2013","Mexico","Marginal rate1",1.92,
"2000","Netherlands","Marginal rate1",4.5,
"2001","Netherlands","Marginal rate1",2.95,
"2002","Netherlands","Marginal rate1",2.95,
"2003","Netherlands","Marginal rate1",1.7,
"2004","Netherlands","Marginal rate1",1,
