"race_unique","office_type_fin","place","area","term","cntyname","date","office","recode_offname","total_votes","n_to_vote_for","n_candidates","n_incumb","n_incumb_per_office","n_candidates_per_office","n_open_seats","avg_winner","sd_winner","median_winner","lowest_winner","top_loser","loser_margin","loser_margin_pct","loser_difference_median_winner","avg_votes_per_office","entity_name","year","office_pretty"
"1996 199600013","Supervisor","AMADOR","1","Full","AMADOR",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",2837,1,2,0,0,2,1,1733,NA,1733,1733,1104,629,0.221713077194219,0.362954414310444,2837,"Amador",1996,"Supervisor"
"1996 199600014","Supervisor","AMADOR","2","Full","AMADOR",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",2373,1,2,1,1,2,0,1207,NA,1207,1207,1166,41,0.0172777075431943,0.0339685169842585,2373,"Amador",1996,"Supervisor"
"1996 199600015","Supervisor","AMADOR","4","Full","AMADOR",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3109,1,2,1,1,2,0,1583,NA,1583,1583,1526,57,0.0183338694113863,0.0360075805432723,3109,"Amador",1996,"Supervisor"
"1996 199600016","Supervisor","BUTTE","1","Full","BUTTE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",10259,1,2,2,2,2,-1,5390,NA,5390,5390,4869,521,0.0507846768690906,0.0966604823747681,10259,"Butte",1996,"Supervisor"
"1996 199600017","Supervisor","BUTTE","1","Full","BUTTE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",2655,1,6,1,1,6,0,510,NA,510,510,468,42,0.015819209039548,0.0823529411764706,2655,"Butte",1996,"Supervisor"
"1996 199600018","Supervisor","BUTTE","2","Full","BUTTE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",2527,1,5,0,0,5,1,348,NA,348,348,148,200,0.0791452314998021,0.574712643678161,2527,"Butte",1996,"Supervisor"
"1996 199600019","Supervisor","BUTTE","4","Full","BUTTE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",10135,1,3,1,1,3,0,5564,NA,5564,5564,2541,3023,0.298273310310804,0.543314162473041,10135,"Butte",1996,"Supervisor"
"1996 199600020","Supervisor","BUTTE","5","Full","BUTTE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",13778,1,3,0,0,3,1,1849,NA,1849,1849,NA,NA,NA,NA,13778,"Butte",1996,"Supervisor"
"1996 199600021","Supervisor","BUTTE","1","Full","BUTTE",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3076,1,2,0,0,2,1,1817,NA,1817,1817,1259,558,0.181404421326398,0.307099614749587,3076,"Butte",1996,"Supervisor"
"1996 199600022","Supervisor","BUTTE","2","Full","BUTTE",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",2897,1,2,0,0,2,1,1692,NA,1692,1692,1205,487,0.168104936140835,0.287825059101655,2897,"Butte",1996,"Supervisor"
"1996 199600023","Supervisor","BUTTE","4","Full","BUTTE",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3534,1,2,1,1,2,0,1940,NA,1940,1940,1594,346,0.0979060554612337,0.178350515463918,3534,"Butte",1996,"Supervisor"
"1996 199600024","Supervisor","BUTTE","4","Full","BUTTE",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3074,1,3,0,0,3,1,372,NA,372,372,NA,NA,NA,NA,3074,"Butte",1996,"Supervisor"
"1996 199600025","Supervisor","BUTTE","5","Full","BUTTE",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",17564,1,2,1,1,2,0,9714,NA,9714,9714,7850,1864,0.1061261671601,0.191887996705785,17564,"Butte",1996,"Supervisor"
"1996 199600026","Judge","BUTTE",NA,"Full","BUTTE",1996-11-05,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",13573,1,2,1,1,2,0,8526,NA,8526,8526,5047,3479,0.256317689530686,0.408045977011494,13573,"Butte",1996,"Judge"
"1996 199600027","Judge","BUTTE",NA,"Full","BUTTE",1996-11-05,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",13695,1,2,1,1,2,0,8351,NA,8351,8351,5344,3007,0.219569185834246,0.36007663752844,13695,"Butte",1996,"Judge"
"1996 199600028","Supervisor","COLUSA","2","Full","COLUSA",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1264,1,2,0,0,2,1,711,NA,711,711,553,158,0.125,0.222222222222222,1264,"Colusa",1996,"Supervisor"
"1996 199600029","Supervisor","COLUSA","4","Full","COLUSA",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1175,1,2,1,1,2,0,683,NA,683,683,492,191,0.162553191489362,0.279648609077599,1175,"Colusa",1996,"Supervisor"
"1996 199600030","Supervisor","CONTRA  COSTA","2","Full","CONTRA COSTA",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",41841,1,5,0,0,5,1,8452,NA,8452,8452,7258,1194,0.0285366028536603,0.141268338854709,41841,"Contra  Costa",1996,"Supervisor"
"1996 199600031","Supervisor","CONTRA  COSTA","3","Full","CONTRA COSTA",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",51725,1,3,1,1,3,0,14038,NA,14038,14038,NA,NA,NA,NA,51725,"Contra  Costa",1996,"Supervisor"
"1996 199600032","Supervisor","CONTRA  COSTA","5","Full","CONTRA COSTA",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",34310,1,2,1,1,2,0,19781,NA,19781,19781,14529,5252,0.15307490527543,0.265507304989637,34310,"Contra  Costa",1996,"Supervisor"
"1996 199600033","Judge","CONTRA  COSTA","2","Full","CONTRA COSTA",1996-03-26,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",176826,1,5,0,0,5,1,40076,NA,40076,40076,32592,7484,0.0423240926108151,0.186745184150115,176826,"Contra  Costa",1996,"Judge"
"1996 199600034","Supervisor","CONTRA  COSTA","2","Full","CONTRA COSTA",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",64637,1,2,0,0,2,1,34721,NA,34721,34721,29916,4805,0.0743382273310952,0.138388871288269,64637,"Contra  Costa",1996,"Supervisor"
"1996 199600035","Supervisor","CONTRA  COSTA","3","Full","CONTRA COSTA",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",79627,1,2,0,0,2,1,41459,NA,41459,41459,38168,3291,0.041330202067138,0.0793796280662823,79627,"Contra  Costa",1996,"Supervisor"
"1996 199600036","Judge","CONTRA  COSTA","2","Full","CONTRA COSTA",1996-11-05,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",298054,1,2,0,0,2,1,172448,NA,172448,172448,125606,46842,0.157159440906681,0.271629708665801,298054,"Contra  Costa",1996,"Judge"
"1996 199600037","Supervisor","DEL NORTE","1","Full","DEL NORTE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",708,1,2,1,1,2,0,371,NA,371,371,337,34,0.0480225988700565,0.091644204851752,708,"Del Norte",1996,"Supervisor"
"1996 199600038","Supervisor","DEL NORTE","2","Full","DEL NORTE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",893,1,3,0,0,3,1,449,NA,449,449,384,65,0.0727883538633819,0.144766146993318,893,"Del Norte",1996,"Supervisor"
"1996 199600039","Supervisor","DEL NORTE","5","Full","DEL NORTE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1675,1,3,0,0,3,1,859,NA,859,859,667,192,0.114626865671642,0.223515715948778,1675,"Del Norte",1996,"Supervisor"
"1996 199600040","Supervisor","EL DORADO","1","Full","EL DORADO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",9547,1,2,1,1,2,0,5770,NA,5770,5770,3777,1993,0.208756677490311,0.345407279029463,9547,"El Dorado",1996,"Supervisor"
"1996 199600041","Supervisor","EL DORADO","2","Full","EL DORADO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",10091,1,2,1,1,2,0,6484,NA,6484,6484,3607,2877,0.285105539589733,0.443707587908698,10091,"El Dorado",1996,"Supervisor"
"1996 199600042","Supervisor","EL DORADO","3","Full","EL DORADO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",8971,1,3,0,0,3,1,1902,NA,1902,1902,NA,NA,NA,NA,8971,"El Dorado",1996,"Supervisor"
"1996 199600043","Judge","EL DORADO","2","Full","EL DORADO",1996-03-26,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",39333,1,2,1,1,2,0,25535,NA,25535,25535,13798,11737,0.298400833905372,0.459643626395144,39333,"El Dorado",1996,"Judge"
"1996 199600044","Judge","EL DORADO","1","Full","EL DORADO",1996-03-26,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",40797,1,2,1,1,2,0,31983,NA,31983,31983,8814,23169,0.567909405103316,0.724416096051027,40797,"El Dorado",1996,"Judge"
"1996 199600045","Judge","EL DORADO","2","Full","EL DORADO",1996-03-26,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",39980,1,2,1,1,2,0,28439,NA,28439,28439,11541,16898,0.422661330665333,0.594184043039488,39980,"El Dorado",1996,"Judge"
"1996 199600046","Judge","EL DORADO","3","Full","EL DORADO",1996-03-26,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",40140,1,7,0,0,7,1,5147,NA,5147,5147,4963,184,0.00458395615346288,0.0357489799883427,40140,"El Dorado",1996,"Judge"
"1996 199600047","Supervisor","EL DORADO","3","Full","EL DORADO",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",11997,1,2,1,1,2,0,6058,NA,6058,6058,5939,119,0.00991914645327999,0.0196434466820733,11997,"El Dorado",1996,"Supervisor"
"1996 199600048","Judge","EL DORADO","3","Full","EL DORADO",1996-11-05,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",58774,1,2,0,0,2,1,33683,NA,33683,33683,25091,8592,0.146187089529384,0.255084167087255,58774,"El Dorado",1996,"Judge"
"1996 199600049","Supervisor","FRESNO","2","Full","FRESNO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",42691,1,3,1,1,3,0,29645,NA,29645,29645,6538,23107,0.541261624229931,0.779456906729634,42691,"Fresno",1996,"Supervisor"
"1996 199600050","Supervisor","FRESNO","3","Full","FRESNO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",17161,1,2,1,1,2,0,10503,NA,10503,10503,6658,3845,0.224054542276091,0.366085880224698,17161,"Fresno",1996,"Supervisor"
"1996 199600051","Supervisor","FRESNO","5","Full","FRESNO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",32889,1,3,0,0,3,1,2806,NA,2806,2806,NA,NA,NA,NA,32889,"Fresno",1996,"Supervisor"
"1996 199600052","Judge","FRESNO",NA,"Full","FRESNO",1996-03-26,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",6738,1,2,1,1,2,0,3601,NA,3601,3601,3137,464,0.0688631641436628,0.128853096362122,6738,"Fresno",1996,"Judge"
"1996 199600053","Judge","FRESNO","4","Full","FRESNO",1996-03-26,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",103943,1,5,0,0,5,1,21167,NA,21167,21167,13799,7368,0.0708850042811926,0.348089006472339,103943,"Fresno",1996,"Judge"
"1996 199600054","Supervisor","FRESNO","5","Full","FRESNO",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",46609,1,2,1,1,2,0,26650,NA,26650,26650,19959,6691,0.143555965586046,0.251069418386492,46609,"Fresno",1996,"Supervisor"
"1996 199600055","Judge","FRESNO","4","Full","FRESNO",1996-11-05,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",148583,1,2,0,0,2,1,78299,NA,78299,78299,70284,8015,0.053942914061501,0.10236401486609,148583,"Fresno",1996,"Judge"
"1996 199600056","Supervisor","GLENN","1","Full","GLENN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1277,1,2,1,1,2,0,763,NA,763,763,514,249,0.194988253719655,0.326343381389253,1277,"Glenn",1996,"Supervisor"
"1996 199600057","Supervisor","GLENN","3","Full","GLENN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1531,1,4,1,1,4,0,868,NA,868,868,353,515,0.336381450032658,0.59331797235023,1531,"Glenn",1996,"Supervisor"
"1996 199600058","Supervisor","GLENN","5","Full","GLENN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",563,1,1,1,1,1,0,563,NA,563,563,NA,NA,NA,NA,563,"Glenn",1996,"Supervisor"
"1996 199600059","Sheriff","GLENN",NA,"Short","GLENN",1996-11-05,"SHERIFF-CORONER","OTHER COUNTY OFFICE",5362,1,6,0,0,6,1,2256,NA,2256,2256,770,1486,0.277135397239836,0.658687943262411,5362,"Glenn",1996,"Sheriff"
"1996 199600060","Supervisor","HUMBOLDT","1","Full","HUMBOLDT",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",7099,1,2,1,1,2,0,5312,NA,5312,5312,1787,3525,0.496548809691506,0.66359186746988,7099,"Humboldt",1996,"Supervisor"
"1996 199600061","Supervisor","HUMBOLDT","2","Full","HUMBOLDT",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",7421,1,4,0,0,4,1,1591,NA,1591,1591,149,1442,0.194313434847056,0.90634820867379,7421,"Humboldt",1996,"Supervisor"
"1996 199600062","Supervisor","HUMBOLDT","3","Full","HUMBOLDT",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",8207,1,3,0,0,3,1,5181,NA,5181,5181,1832,3349,0.408066284878762,0.646400308820691,8207,"Humboldt",1996,"Supervisor"
"1996 199600063","Supervisor","HUMBOLDT","2","Full","HUMBOLDT",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",10775,1,2,1,1,2,0,5533,NA,5533,5533,5242,291,0.0270069605568445,0.0525935297307067,10775,"Humboldt",1996,"Supervisor"
"1996 199600064","Judge","HUMBOLDT",NA,"Full","HUMBOLDT",1996-11-05,"JUDGE-NORTH HUMBOLDT JUDICIAL","OTHER COUNTY OFFICE",20679,1,3,0,0,3,1,10050,NA,10050,10050,5502,4548,0.2199332656318,0.452537313432836,20679,"Humboldt",1996,"Judge"
"1996 199600065","Supervisor","IMPERIAL","2","Full","IMPERIAL",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3662,1,2,1,1,2,0,2201,NA,2201,2201,1461,740,0.20207536865101,0.336210813266697,3662,"Imperial",1996,"Supervisor"
"1996 199600066","Supervisor","IMPERIAL","3","Full","IMPERIAL",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3317,1,1,1,1,1,0,3317,NA,3317,3317,NA,NA,NA,NA,3317,"Imperial",1996,"Supervisor"
"1996 199600067","Supervisor","IMPERIAL","4","Full","IMPERIAL",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",4780,1,6,0,0,6,1,1524,NA,1524,1524,1206,318,0.0665271966527197,0.208661417322835,4780,"Imperial",1996,"Supervisor"
"1996 199600068","Judge","IMPERIAL","1","Full","IMPERIAL",1996-03-26,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",18248,1,2,1,1,2,0,12621,NA,12621,12621,5627,6994,0.383274879438843,0.554155772125822,18248,"Imperial",1996,"Judge"
"1996 199600069","Judge","IMPERIAL","2","Full","IMPERIAL",1996-03-26,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",18594,1,3,0,0,3,1,5318,NA,5318,5318,NA,NA,NA,NA,18594,"Imperial",1996,"Judge"
"1996 199600070","Judge","IMPERIAL","3","Full","IMPERIAL",1996-03-26,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",18429,1,3,0,0,3,1,4176,NA,4176,4176,NA,NA,NA,NA,18429,"Imperial",1996,"Judge"
"1996 199600071","Judge","IMPERIAL","2","Full","IMPERIAL",1996-11-05,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",26179,1,2,1,1,2,0,15016,NA,15016,15016,11163,3853,0.147179036632415,0.256592967501332,26179,"Imperial",1996,"Judge"
"1996 199600072","Judge","IMPERIAL","3","Full","IMPERIAL",1996-11-05,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",25473,1,2,0,0,2,1,15734,NA,15734,15734,9739,5995,0.235347230400817,0.381021990593619,25473,"Imperial",1996,"Judge"
"1996 199600073","Supervisor","INYO","2","Full","INYO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",790,1,1,1,1,1,0,790,NA,790,790,NA,NA,NA,NA,790,"Inyo",1996,"Supervisor"
"1996 199600074","Supervisor","INYO","4","Full","INYO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1127,1,2,1,1,2,0,776,NA,776,776,351,425,0.377107364685004,0.547680412371134,1127,"Inyo",1996,"Supervisor"
"1996 199600075","Supervisor","INYO","5","Full","INYO",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1022,1,2,0,0,2,1,580,NA,580,580,442,138,0.135029354207436,0.237931034482759,1022,"Inyo",1996,"Supervisor"
"1996 199600077","Supervisor","KERN","1","Full","KERN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",22287,1,5,0,0,5,1,3316,NA,3316,3316,3308,8,0.00035895365010993,0.00241254523522316,22287,"Kern",1996,"Supervisor"
"1996 199600078","Supervisor","KERN","4","Full","KERN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",21061,1,2,1,1,2,0,15044,NA,15044,15044,6017,9027,0.428612126679645,0.600039883009838,21061,"Kern",1996,"Supervisor"
"1996 199600079","Supervisor","KERN","5","Full","KERN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",8818,1,6,0,0,6,1,1347,NA,1347,1347,878,469,0.0531866636425493,0.348181143281366,8818,"Kern",1996,"Supervisor"
"1996 199600080","Supervisor","KERN","1","Full","KERN",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",33544,1,2,1,1,2,0,16990,NA,16990,16990,16554,436,0.0129978535654663,0.0256621542083579,33544,"Kern",1996,"Supervisor"
"1996 199600081","Supervisor","KERN","5","Full","KERN",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",15241,1,2,1,1,2,0,8744,NA,8744,8744,6497,2247,0.147431270913982,0.256976212259835,15241,"Kern",1996,"Supervisor"
"1996 199600082","Supervisor","KINGS","2","Full","KINGS",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",2143,1,2,0,0,2,1,1180,NA,1180,1180,963,217,0.1012599160056,0.183898305084746,2143,"Kings",1996,"Supervisor"
"1996 199600083","Supervisor","KINGS","5","Full","KINGS",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3851,1,6,0,0,6,1,682,NA,682,682,648,34,0.00882887561672293,0.0498533724340176,3851,"Kings",1996,"Supervisor"
"1996 199600084","Supervisor","KINGS","5","Full","KINGS",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",5340,1,2,0,0,2,1,3114,NA,3114,3114,2226,888,0.166292134831461,0.285163776493256,5340,"Kings",1996,"Supervisor"
"1996 199600085","Supervisor","LAKE","1","Full","LAKE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3528,1,3,0,0,3,1,339,NA,339,339,NA,NA,NA,NA,3528,"Lake",1996,"Supervisor"
"1996 199600086","Supervisor","LAKE","4","Full","LAKE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3507,1,2,1,1,2,0,2024,NA,2024,2024,1483,541,0.154262902765897,0.267292490118577,3507,"Lake",1996,"Supervisor"
"1996 199600087","Supervisor","LAKE","5","Full","LAKE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",3436,1,2,1,1,2,0,2055,NA,2055,2055,1381,674,0.19615832363213,0.327980535279805,3436,"Lake",1996,"Supervisor"
"1996 199600088","Supervisor","LAKE","1","Full","LAKE",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",4540,1,2,0,0,2,1,2410,NA,2410,2410,2130,280,0.0616740088105727,0.116182572614108,4540,"Lake",1996,"Supervisor"
"1996 199600089","Supervisor","LASSEN","1","Full","LASSEN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1687,1,3,1,1,3,0,992,NA,992,992,523,469,0.278008298755187,0.472782258064516,1687,"Lassen",1996,"Supervisor"
"1996 199600090","Supervisor","LASSEN","2","Full","LASSEN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1228,1,2,1,1,2,0,802,NA,802,802,426,376,0.306188925081433,0.468827930174564,1228,"Lassen",1996,"Supervisor"
"1996 199600091","Supervisor","LASSEN","4","Full","LASSEN",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",1224,1,3,0,0,3,1,718,NA,718,718,300,418,0.341503267973856,0.582172701949861,1224,"Lassen",1996,"Supervisor"
"1996 199600092","Attorney","LASSEN",NA,"Full","LASSEN",1996-03-26,"DISTRICT ATTORNEY","OTHER COUNTY OFFICE",5739,1,1,1,1,1,0,5739,NA,5739,5739,NA,NA,NA,NA,5739,"Lassen",1996,"Attorney"
"1996 199600093","Judge","LASSEN",NA,"Full","LASSEN",1996-03-26,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",5850,1,1,0,0,1,1,5850,NA,5850,5850,NA,NA,NA,NA,5850,"Lassen",1996,"Judge"
"1996 199600094","Supervisor","LOS ANGELES","2","Full","LOS ANGELES",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",142819,1,1,1,1,1,0,142819,NA,142819,142819,NA,NA,NA,NA,142819,"Los Angeles",1996,"Supervisor"
"1996 199600095","Supervisor","LOS ANGELES","4","Full","LOS ANGELES",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",272340,1,6,0,0,6,1,52779,NA,52779,52779,16008,36771,0.13501872659176,0.696697550161996,272340,"Los Angeles",1996,"Supervisor"
"1996 199600096","Supervisor","LOS ANGELES","5","Full","LOS ANGELES",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",303166,1,2,1,1,2,0,225662,NA,225662,225662,77504,148158,0.488702558994082,0.656548289034042,303166,"Los Angeles",1996,"Supervisor"
"1996 199600097","Attorney","LOS ANGELES",NA,"Full","LOS ANGELES",1996-03-26,"DISTRICT ATTORNEY","OTHER COUNTY OFFICE",1167724,1,6,0,0,6,1,196488,NA,196488,196488,172591,23897,0.0204645960860614,0.121620658767965,1167724,"Los Angeles",1996,"Attorney"
"1996 199600098","Judge","LOS ANGELES",NA,"Full","LOS ANGELES",1996-03-26,"MUNICIPAL JUDGE, PASADENA DIST","OTHER COUNTY OFFICE",46033,1,2,1,1,2,0,23581,NA,23581,23581,22452,1129,0.0245258836052397,0.0478775285187227,46033,"Los Angeles",1996,"Judge"
"1996 199600099","Judge","LOS ANGELES","1","Full","LOS ANGELES",1996-03-26,"MUNICIPAL JUDGE, CITRUS DIST.","OTHER COUNTY OFFICE",49196,1,7,0,0,7,1,8637,NA,8637,8637,6969,1668,0.0339051955443532,0.193122612018062,49196,"Los Angeles",1996,"Judge"
"1996 199600100","Judge","LOS ANGELES","1","Full","LOS ANGELES",1996-03-26,"MUNICIPAL JUDGE, EAST L.A. DIS","OTHER COUNTY OFFICE",15536,1,2,1,1,2,0,9213,NA,9213,9213,6323,2890,0.186019567456231,0.313687181157061,15536,"Los Angeles",1996,"Judge"
"1996 199600101","Judge","LOS ANGELES","1","Full","LOS ANGELES",1996-03-26,"MUNICIPAL JUDGE, LOS CERRITOS","OTHER COUNTY OFFICE",23366,1,1,0,0,1,1,23366,NA,23366,23366,NA,NA,NA,NA,23366,"Los Angeles",1996,"Judge"
"1996 199600102","Judge","LOS ANGELES","2","Full","LOS ANGELES",1996-03-26,"MUNICIPAL JUDGE, EAST L.A. DIS","OTHER COUNTY OFFICE",15809,1,3,0,0,3,1,3978,NA,3978,3978,NA,NA,NA,NA,15809,"Los Angeles",1996,"Judge"
