President,Year,Chamber,NumVotes,PctVotes
Ford,1976,Senate,53,64.2
Carter,1977,Both,.,75.4
Carter,1978,Both,.,78.3
Carter,1979,Both,.,76.8
Carter,1980,Both,.,75.1
Carter,Average,Both,.,76.4
Carter,1977,House,79,74.7
Carter,1978,House,112,69.6
Carter,1979,House,145,71.7
Carter,1980,House,117,76.9
Carter,1977,Senate,88,76.1
Carter,1978,Senate,151,84.8
Carter,1979,Senate,161,81.4
Carter,1980,Senate,116,73.3
Reagan,1981,Both,.,82.4
Reagan,1982,Both,.,72.4
Reagan,1983,Both,.,67.1
Reagan,1984,Both,.,65.8
Reagan,1985,Both,.,59.9
Reagan,1986,Both,.,56.1
Reagan,1987,Both,.,43.5
Reagan,1988,Both,.,47.4
Reagan,Average,Both,.,61.8
Reagan,1981,House,76,72.4
Reagan,1982,House,77,55.8
Reagan,1983,House,82,47.6
Reagan,1984,House,113,52.2
Reagan,1985,House,80,45
Reagan,1986,House,90,33.3
Reagan,1987,House,99,33.3
Reagan,1988,House,104,32.7
Reagan,1981,Senate,128,88.3
Reagan,1982,Senate,119,83.2
Reagan,1983,Senate,85,85.9
Reagan,1984,Senate,77,85.7
Reagan,1985,Senate,102,71.6
Reagan,1986,Senate,83,80.7
Reagan,1987,Senate,78,56.4
Reagan,1988,Senate,88,64.8
Bush,1989,Both,.,62.6
Bush,1990,Both,.,46.8
Bush,1991,Both,.,54.2
Bush,1992,Both,.,43
Bush,Average,Both,.,51.7
Bush,1989,House,86,50
Bush,1990,House,108,32.4
Bush,1991,House,111,43
Bush,1992,House,105,37
Bush,1989,Senate,101,73.3
Bush,1990,Senate,93,63.4
Bush,1991,Senate,81,69
Bush,1992,Senate,60,53
Clinton,1993,Both,.,86.4
Clinton,1994,Both,.,86.4
Clinton,1995,Both,.,36.2
Clinton,1996,Both,.,55.1
Clinton,1997,Both,.,53.6
Clinton,1998,Both,.,50.6
Clinton,1999,Both,.,37.8
Clinton,2000,Both,.,55
Clinton,Average,Both,.,57.6
Clinton,1993,House,102,87.2
Clinton,1994,House,78,87.2
Clinton,1995,House,133,26.3
Clinton,1996,House,79,53.2
Clinton,1997,House,75,38.7
Clinton,1998,House,82,36.6
Clinton,1999,House,82,35.4
Clinton,2000,House,69,49.3
Clinton,1993,Senate,89,85.4
Clinton,1994,Senate,62,85.5
Clinton,1995,Senate,102,49
Clinton,1996,Senate,59,57.6
Clinton,1997,Senate,63,71.4
Clinton,1998,Senate,72,67
Clinton,1999,Senate,45,42.2
Clinton,2000,Senate,40,65
Bush,2001,Both,.,86.7
Bush,2002,Both,.,87.8
Bush,2003,Both,.,78.7
Bush,2004,Both,.,72.6
Bush,2005,Both,.,78
Bush,2006,Both,.,80.9
Bush,2007,Both,.,38.3
Bush,2008,Both,.,47.8
Bush,Average,Both,.,71.4
Bush,2001,House,43,83.7
Bush,2002,House,40,82.5
Bush,2003,House,55,87.3
Bush,2004,House,34,70.6
Bush,2005,House,46,78.3
Bush,2006,House,40,85
Bush,2007,House,117,15.4
Bush,2008,House,80,33.8
Bush,2001,Senate,77,88.3
Bush,2002,Senate,58,91.4
Bush,2003,Senate,119,74.8
Bush,2004,Senate,50,74
Bush,2005,Senate,45,77.8
Bush,2006,Senate,70,78.6
Bush,2007,Senate,97,66
Bush,2008,Senate,54,68.5
Obama,2009,Both,.,96.7
Obama,2010,Both,.,85.8
Obama,2011,Both,.,57.1
Obama,2012,Both,.,53.6
Obama,2013,Both,.,56.7
Obama,2014,Both,.,68.7
Obama,2015,Both,.,45.7
Obama,2016,Both,.,39.3
Obama,Average,Both,.,63
Obama,2009,House,72,94.4
Obama,2010,House,42,88.1
Obama,2011,House,95,31.6
Obama,2012,House,61,19.7
Obama,2013,House,86,20.9
Obama,2014,House,66,15.2
Obama,2015,House,89,14.6
Obama,2016,House,54,13.0
Obama,2009,Senate,79,98.7
Obama,2010,Senate,64,84.4
Obama,2011,Senate,89,84.3
Obama,2012,Senate,79,79.7
Obama,2013,Senate,108,85.2
Obama,2014,Senate,145,93.1
Obama,2015,Senate,75,82.7
Obama,2016,Senate,30,86.7
