"COU","Country","INCOMEAW","Income as a percentage of the average wage","AVGRATES","Average tax rates and wedges","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2009","2009","PC","Percentage","0","Units",,,43.261415,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2010","2010","PC","Percentage","0","Units",,,43.499623,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2011","2011","PC","Percentage","0","Units",,,43.901277,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2012","2012","PC","Percentage","0","Units",,,44.225889,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2013","2013","PC","Percentage","0","Units",,,44.598469,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2014","2014","PC","Percentage","0","Units",,,44.8496,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2015","2015","PC","Percentage","0","Units",,,45.065845,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2016","2016","PC","Percentage","0","Units",,,42.993997,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2017","2017","PC","Percentage","0","Units",,,43.079612,,
"AUT","Austria","67","67","TOT_TAX_WEDGE","Total tax wedge","2018","2018","PC","Percentage","0","Units",,,43.294124,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2000","2000","PC","Percentage","0","Units",,,47.312048,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2001","2001","PC","Percentage","0","Units",,,46.910884,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2002","2002","PC","Percentage","0","Units",,,47.073607,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2003","2003","PC","Percentage","0","Units",,,47.377708,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2004","2004","PC","Percentage","0","Units",,,48.266145,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2005","2005","PC","Percentage","0","Units",,,48.14329,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2006","2006","PC","Percentage","0","Units",,,48.453854,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2007","2007","PC","Percentage","0","Units",,,48.760437,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2008","2008","PC","Percentage","0","Units",,,49.033048,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2009","2009","PC","Percentage","0","Units",,,47.948742,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2010","2010","PC","Percentage","0","Units",,,48.168771,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2011","2011","PC","Percentage","0","Units",,,48.539773,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2012","2012","PC","Percentage","0","Units",,,48.839612,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2013","2013","PC","Percentage","0","Units",,,49.183759,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2014","2014","PC","Percentage","0","Units",,,49.415725,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2015","2015","PC","Percentage","0","Units",,,49.616021,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2016","2016","PC","Percentage","0","Units",,,47.331796,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2017","2017","PC","Percentage","0","Units",,,47.420241,,
"AUT","Austria","100","100","TOT_TAX_WEDGE","Total tax wedge","2018","2018","PC","Percentage","0","Units",,,47.629217,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2000","2000","PC","Percentage","0","Units",,,50.176459,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2001","2001","PC","Percentage","0","Units",,,50.106908,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2002","2002","PC","Percentage","0","Units",,,50.346868,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2003","2003","PC","Percentage","0","Units",,,50.788064,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2004","2004","PC","Percentage","0","Units",,,51.613997,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2005","2005","PC","Percentage","0","Units",,,51.154239,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2006","2006","PC","Percentage","0","Units",,,51.459925,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2007","2007","PC","Percentage","0","Units",,,51.738549,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2008","2008","PC","Percentage","0","Units",,,51.932197,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2009","2009","PC","Percentage","0","Units",,,51.076805,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2010","2010","PC","Percentage","0","Units",,,51.24224,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2011","2011","PC","Percentage","0","Units",,,51.521189,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2012","2012","PC","Percentage","0","Units",,,51.746632,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2013","2013","PC","Percentage","0","Units",,,52.005388,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2014","2014","PC","Percentage","0","Units",,,52.179799,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2015","2015","PC","Percentage","0","Units",,,52.315216,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2016","2016","PC","Percentage","0","Units",,,50.422636,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2017","2017","PC","Percentage","0","Units",,,50.458081,,
"AUT","Austria","133","133","TOT_TAX_WEDGE","Total tax wedge","2018","2018","PC","Percentage","0","Units",,,50.599606,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2000","2000","PC","Percentage","0","Units",,,50.393787,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2001","2001","PC","Percentage","0","Units",,,50.570532,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2002","2002","PC","Percentage","0","Units",,,50.591517,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2003","2003","PC","Percentage","0","Units",,,50.626805,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2004","2004","PC","Percentage","0","Units",,,51.421915,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2005","2005","PC","Percentage","0","Units",,,51.351638,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2006","2006","PC","Percentage","0","Units",,,51.605319,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2007","2007","PC","Percentage","0","Units",,,51.732662,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2008","2008","PC","Percentage","0","Units",,,51.813859,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2009","2009","PC","Percentage","0","Units",,,51.16907,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2010","2010","PC","Percentage","0","Units",,,51.372531,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2011","2011","PC","Percentage","0","Units",,,51.465569,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2012","2012","PC","Percentage","0","Units",,,51.375437,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2013","2013","PC","Percentage","0","Units",,,51.865974,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2014","2014","PC","Percentage","0","Units",,,51.999375,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2015","2015","PC","Percentage","0","Units",,,52.114855,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2016","2016","PC","Percentage","0","Units",,,50.700282,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2017","2017","PC","Percentage","0","Units",,,50.76032,,
"AUT","Austria","167","167","TOT_TAX_WEDGE","Total tax wedge","2018","2018","PC","Percentage","0","Units",,,50.948301,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2000","2000","PC","Percentage","0","Units",,,51.379242,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2001","2001","PC","Percentage","0","Units",,,50.782843,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2002","2002","PC","Percentage","0","Units",,,50.573164,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2003","2003","PC","Percentage","0","Units",,,49.642898,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2004","2004","PC","Percentage","0","Units",,,49.136629,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2005","2005","PC","Percentage","0","Units",,,49.412346,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2006","2006","PC","Percentage","0","Units",,,49.511715,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2007","2007","PC","Percentage","0","Units",,,49.71758,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2008","2008","PC","Percentage","0","Units",,,50.25978,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2009","2009","PC","Percentage","0","Units",,,49.965626,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2010","2010","PC","Percentage","0","Units",,,50.366759,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2011","2011","PC","Percentage","0","Units",,,50.564435,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2012","2012","PC","Percentage","0","Units",,,50.479274,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2013","2013","PC","Percentage","0","Units",,,50.00178,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2014","2014","PC","Percentage","0","Units",,,49.86767,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2015","2015","PC","Percentage","0","Units",,,49.386535,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2016","2016","PC","Percentage","0","Units",,,47.456353,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2017","2017","PC","Percentage","0","Units",,,47.327615,,
"BEL","Belgium","67","67","TOT_TAX_WEDGE","Total tax wedge","2018","2018","PC","Percentage","0","Units",,,46.065663,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2000","2000","PC","Percentage","0","Units",,,57.103642,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2001","2001","PC","Percentage","0","Units",,,56.660819,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2002","2002","PC","Percentage","0","Units",,,56.33123,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2003","2003","PC","Percentage","0","Units",,,55.74007,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2004","2004","PC","Percentage","0","Units",,,55.433739,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2005","2005","PC","Percentage","0","Units",,,55.510421,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2006","2006","PC","Percentage","0","Units",,,55.486275,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2007","2007","PC","Percentage","0","Units",,,55.560067,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2008","2008","PC","Percentage","0","Units",,,55.88346,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2009","2009","PC","Percentage","0","Units",,,55.653902,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2010","2010","PC","Percentage","0","Units",,,55.932147,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2011","2011","PC","Percentage","0","Units",,,56.086594,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2012","2012","PC","Percentage","0","Units",,,55.993728,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2013","2013","PC","Percentage","0","Units",,,55.65689,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2014","2014","PC","Percentage","0","Units",,,55.592807,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2015","2015","PC","Percentage","0","Units",,,55.277696,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2016","2016","PC","Percentage","0","Units",,,53.945234,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2017","2017","PC","Percentage","0","Units",,,53.760736,,
"BEL","Belgium","100","100","TOT_TAX_WEDGE","Total tax wedge","2018","2018","PC","Percentage","0","Units",,,52.672262,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2000","2000","PC","Percentage","0","Units",,,60.442102,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2001","2001","PC","Percentage","0","Units",,,60.106597,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2002","2002","PC","Percentage","0","Units",,,59.80729,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2003","2003","PC","Percentage","0","Units",,,59.121413,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2004","2004","PC","Percentage","0","Units",,,58.956116,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2005","2005","PC","Percentage","0","Units",,,58.993825,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2006","2006","PC","Percentage","0","Units",,,58.916937,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2007","2007","PC","Percentage","0","Units",,,58.960404,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2008","2008","PC","Percentage","0","Units",,,59.186984,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2009","2009","PC","Percentage","0","Units",,,58.904493,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2010","2010","PC","Percentage","0","Units",,,59.09427,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2011","2011","PC","Percentage","0","Units",,,59.172711,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2012","2012","PC","Percentage","0","Units",,,59.075043,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2013","2013","PC","Percentage","0","Units",,,58.912793,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2014","2014","PC","Percentage","0","Units",,,58.889432,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2015","2015","PC","Percentage","0","Units",,,58.623132,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2016","2016","PC","Percentage","0","Units",,,57.701897,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2017","2017","PC","Percentage","0","Units",,,57.483844,,
"BEL","Belgium","133","133","TOT_TAX_WEDGE","Total tax wedge","2018","2018","PC","Percentage","0","Units",,,56.602171,,
"BEL","Belgium","167","167","TOT_TAX_WEDGE","Total tax wedge","2000","2000","PC","Percentage","0","Units",,,62.615672,,
"BEL","Belgium","167","167","TOT_TAX_WEDGE","Total tax wedge","2001","2001","PC","Percentage","0","Units",,,62.322823,,
"BEL","Belgium","167","167","TOT_TAX_WEDGE","Total tax wedge","2002","2002","PC","Percentage","0","Units",,,62.014349,,
"BEL","Belgium","167","167","TOT_TAX_WEDGE","Total tax wedge","2003","2003","PC","Percentage","0","Units",,,61.324627,,
"BEL","Belgium","167","167","TOT_TAX_WEDGE","Total tax wedge","2004","2004","PC","Percentage","0","Units",,,61.30656,,
"BEL","Belgium","167","167","TOT_TAX_WEDGE","Total tax wedge","2005","2005","PC","Percentage","0","Units",,,60.872587,,
"BEL","Belgium","167","167","TOT_TAX_WEDGE","Total tax wedge","2006","2006","PC","Percentage","0","Units",,,60.810423,,
"BEL","Belgium","167","167","TOT_TAX_WEDGE","Total tax wedge","2007","2007","PC","Percentage","0","Units",,,60.868324,,
